abbrev,expansion
"("")",INCHES
(#),NUMBER
(&),AND
('),FEET
(*),DEGREES
(@),AT
(+),PLUS
(=),EQUALS
(>),GREATER THAN
(1/2),HALF
1ST,FIRST
2ND,SECOND
A/C,AIRCRAFT
A/F,AFT
ACFT,AIRCRAFT
ADJ,ADJUSTED
ALT,ALTERNATOR
ALUM,ALUMINUM
APPROX,APPROXIMATELY
ASSY,ASSEMBLY
BATT,BATTERY
BLK,BLACK
C/W,COMPLIED WITH
CH,CHAPTER
CK,CHECK
CK'ED,CHECKED
CKLIST,CHECKLIST
COMP,COMPRESSION
COMP,COMPRESSOR
CYL,CYLINDER
DISCREP,DISCREPANCY
ENG,ENGINE
EX,EXHAUST
EXH,EXHAUST
EXT,EXHAUST
F,FAHRENHEIT
FLT,FLIGHT
FT,FEET
FWD,FORWARD
GEN,GENERATOR
GOV,GOVERNOR
GP,GROUND PRESSURE
GRD,GROUND
HELO,HELICOPTER
HRS,HOURS
I/B,INBOARD
IAW,IN ACCORDANCE WITH
IGN,IGNITION
IN,INTAKE
IN,INCHES
IN/LBS,INCH POUNDS
IND,INDICTAED
INFO,INFORMATION
INJ,INJECTOR
INOP,INOPERABLE
INSP,INSPECTED
INSP,INSPECTION
INSP'ED,INSPECTED
L/H,LEFT-HAND
LBS,POUNDS
LH,LEFT-HAND
LWR,LOWER
MAG,MAGNETO
MAINT,MAINTENANCE
MFG,MANUFACTURING
MM,MAINTENANCE MANUAL
MP,MANIFOLD PRESSURE
MX,MAINTENANCE
N/A,NOT APPLICABLE
NEG,NEGLIGIBLE
NLG,NOSE LANDING GEAR
NO.,NUMBER
O/B,OUTBOARD
O/H,OVERHAUL
O/H'ED,OVERHAULED
OPS,OPERATIONS
P&W,PRATT AND WHITNEY
PAR,PARAGRAPH
PRESS,PRESSURE
PROP,PROPELLER
PWR,POWER
QTS,QUARTS
R/H,RIGHT-HAND
REF MAN,REFERENCE MANEUVERS
RE-IGN,REIGNITION
REQ,REQUIRED
S MX,STANDARD MAINTENANCE
SEC,SECOND
SEC,SECTION
SI,SERVICE INSTRUCTION
SRM,STANDARD REFERENCE MATERIAL
START/GEN,STARTER GENERATOR
T/O,TAKEOFF
TACH,TACHOMETER
TEMP,TEMPERATURE
THR,THROTTLE
THRU,THROUGH
VAC,VACUUM
W/,WITH
W/IN,WITHIN
