misspelling,correction
!,1 (ONE)
ACCESORY,ACCESSORY
AFFECT,EFFECT
AIR BOX,AIRBOX
ALM,RPM
ALTERANATE,ALTERNATE
ALVE,VALVE
ASSEBLED,ASSEMBLED
ASSTI,ASSIST
AUTO RECOVERY,AUTORECOVERY
B' NUTS,B NUTS
BACK BONE,BACKBONE
BACK FIRED,BACKFIRED
BACK FIRING,BACKFIRING
BAFFEL,BAFFLE
BILLIN,BILLING
BOTTM,BOTTOM
BRKOEN,BROKEN
BYT,BY
CESS,CES
CHECK LIST,CHECKLIST
CLEARNACE,CLEARANCE
COMPELTED,COMPLETED
COMPERSION,COMPRESSION
COMPRESION,COMPRESSION
CONSISTANTLY,CONSISTENTLY
CONSTENTLY,CONSTANTLY
COWLNIG,COWLING
CVOER,COVER
CYLDERS,CYLINDER
CYLILNDER,CYLINDER
DEFETCS,DEFECTS
DETERIMED,DETERMINED
DISPCREPANCY,DISCREPANCY
DOWN LOAD,DOWNLOAD
DOWN LOADED,DOWNLOADED
DOWN WIND,DOWNWIND
E,3 (THREE)
ELAKING,LEAKING
ENGIEN,ENGINE
ENGNIE,ENGINE
ENIGNE,ENGINE
ERMOVED,REMOVED
FALLLING,FALLING
FLAGE,FLANGE
GASKE,GASKET
GO AROUND,GO-AROUND
GROUNDIN,GROUNDING
HARDWARED,HARDWARE
HELI-COIL,HELICOIL
HOOOKED,HOOKED
IFINISHED,FINISHED
IGNTION,IGNITION
INDUCATION,INDUCTION
INJECTOR S,INJECTORS
INSTALED,INSTALLED
INTABLE,INTAKE
INTER BAFFLE,INTERBAFFLE
IRREGULOR,IRREGULAR
LANCING,LACING
LH/,L/H (LEFT-HAND)
LNE,LINE
LOCK TITE,LOCKTITE
MATERAL,MATERIAL
MISISNG,MISSING
NE,NEW
NSPECTED,INSPECTED
OFF,OF
OFF SITE,OFF-SITE
ONR/H,ON R/H (ON RIGHT-HAND)
PATCHE,PATCH
PERFORMD,PERFORMED
PISTION,PISTON
PRM,RPM
REATINE,RETAINER
REATTCHED,REATTACHED
RECEPTILES,RECEPTACLES
RECONECTED,RECONNECTED
REEMED,REAMED
REMED,REMOVED
REMOCED,REMOVED
REMOED,REMOVED
REMOEVD,REMOVED
REMVED,REMOVED
REMVOED,REMOVED
REOMVED,REMOVED
REOVED,REMOVED
REPALCED,REPLACED
REPLACD,REPLACED
REPLAED,REPLACED
RMOVED,REMOVED
RODD,ROD
ROUDH,ROUGH
RTB,RTV
SAEFTIED,SAFETIED
SAM,SAME
SCRWES,SCREWS
SDIE,SIDE
SEECURED,SECURED
SEPERATE,SEPARATE
SEPERATED,SEPARATED
SEPERETOR,SEPARATOR
SHUT DOWN,SHUTDOWN
SIIDE,SIDE
SOUN,SOUND
STAND OFF,STANDOFF
TAC,TACH (TACHOMETER)
TAKE OFF,TAKEOFF
TAXING,TAXIING
THAT,THAN
TOQRUED,TORQUED
TRHEE,THREE
VALVEDS,VALVES
VIBRATION S,VIBRATIONS
