source,relation,target,record_count
ACTION:replaced,ACTION_ADDRESSES_ISSUE,ABN_PROC:leaking,2606
ACTION:replaced,ACTION_ON_ITEM,MAINT_ITEM:gasket,803
MAINT_ITEM:engine,HAS_LOCATION,LOC:right-hand,799
MAINT_ITEM:engine,HAS_LOCATION,LOC:left-hand,745
ACTION:removed,ACTION_ON_ITEM,MAINT_ITEM:gasket,563
ABN_PROC:leaking,ISSUE_ON_ITEM,MAINT_ITEM:intake gasket,559
ACTION:replaced,ACTION_ON_ITEM,MAINT_ITEM:intake gasket,520
ABN_PROC:leaking,ISSUE_ON_ITEM,MAINT_ITEM:intake,518
ACTION:removed,ACTION_ON_ITEM,MAINT_ITEM:intake gasket,454
ACTION:replaced,ACTION_ON_ITEM,MAINT_ITEM:gaskets,403
MAINT_ITEM:cylinder,HAS_LOCATION,LOC:number 4,373
MAINT_ITEM:cylinder,HAS_LOCATION,LOC:number 2,372
MAINT_ITEM:cylinder,HAS_LOCATION,LOC:number 3,362
ACTION:replaced,ACTION_ON_ITEM,MAINT_ITEM:rocker cover gasket,344
MAINT_ITEM:engine,HAS_PART,MAINT_ITEM:cylinder,339
ACTION:removed,ACTION_ON_ITEM,MAINT_ITEM:rocker cover gasket,316
ACTION:removed,ACTION_ON_ITEM,MAINT_ITEM:gaskets,311
ABN_PROC:leaking,ISSUE_ON_ITEM,MAINT_ITEM:rocker cover gasket,304
ACTION:replaced,ACTION_ON_ITEM,MAINT_ITEM:rocker cover gaskets,289
ACTION:removed,ACTION_ON_ITEM,MAINT_ITEM:rocker cover gaskets,266
ACTION:replaced,ACTION_ON_ITEM,MAINT_ITEM:intake gaskets,266
ABN_PROC:leaking,ISSUE_ON_ITEM,MAINT_ITEM:intakes,256
ABN_PROC:leaking,ISSUE_ON_ITEM,MAINT_ITEM:intake gaskets,251
ABN_PROC:leaking,ISSUE_ON_ITEM,MAINT_ITEM:rocker cover,250
MAINT_ITEM:cylinder,HAS_PART,MAINT_ITEM:intake gasket,245
MAINT_ITEM:cylinder,HAS_LOCATION,LOC:number 1,235
ACTION:removed,ACTION_ON_ITEM,MAINT_ITEM:intake gaskets,229
FAULT:cracked,ISSUE_ON_ITEM,MAINT_ITEM:baffle,224
ABN_PROC:leaking,ISSUE_ON_ITEM,MAINT_ITEM:rocker cover gaskets,213
MAINT_ITEM:engine,HAS_PART,MAINT_ITEM:baffle,200
MAINT_ITEM:intake,HAS_LOCATION,LOC:number 2,183
MAINT_ITEM:cylinder,HAS_PART,MAINT_ITEM:rocker cover gasket,180
MAINT_ITEM:engine,HAS_PART,MAINT_ITEM:intake,180
ACTION:tightened,ACTION_ADDRESSES_ISSUE,FAULT:loose,178
MAINT_ITEM:intake gasket,HAS_LOCATION,LOC:number 2,178
ABN_PROC:leaking,ISSUE_ON_ITEM,MAINT_ITEM:rocker covers,177
ACTION:installed,ACTION_ADDRESSES_ISSUE,ABN_PROC:leaking,171
ACTION:leak check,ACTION_RESULTS_IN_OUTCOME,OUTCOME:good,170
ACTION:installed,ACTION_ADDRESSES_ISSUE,FAULT:missing,169
ACTION:stop drilled,ACTION_ON_ITEM,MAINT_ITEM:baffle,166
FAULT:crack,ISSUE_ON_ITEM,MAINT_ITEM:baffle,165
MAINT_ITEM:cylinder,HAS_PART,MAINT_ITEM:baffle,163
MAINT_ITEM:engine,HAS_PART,MAINT_ITEM:intakes,157
ACTION:stop drilled,ACTION_ADDRESSES_ISSUE,FAULT:cracked,155
MAINT_ITEM:intake gasket,HAS_LOCATION,LOC:number 4,155
FAULT:low,ISSUE_ON_ITEM,MAINT_ITEM:cylinder,145
MAINT_ITEM:intake,HAS_LOCATION,LOC:number 4,140
ACTION:replaced,ACTION_ADDRESSES_ISSUE,FAULT:broken,123
ACTION:ran,ACTION_ON_ITEM,MAINT_ITEM:aircraft,123
MAINT_ITEM:baffle,HAS_LOCATION,LOC:aft,120
MAINT_ITEM:engine,HAS_PART,MAINT_ITEM:intake gasket,118
TECH_OBS:compression,OBSERVATION_OF_ITEM,MAINT_ITEM:cylinder,118
MAINT_ITEM:cylinder,HAS_PART,MAINT_ITEM:rocker cover gaskets,115
MAINT_ITEM:intake,HAS_LOCATION,LOC:number 3,114
MAINT_ITEM:intake gasket,HAS_LOCATION,LOC:number 3,106
ACTION:removed,ACTION_ON_ITEM,MAINT_ITEM:baffle,98
MAINT_ITEM:engine,HAS_PART,MAINT_ITEM:intake gaskets,94
ACTION:replaced,ACTION_ADDRESSES_ISSUE,ABN_PROC:leaks,93
ACTION:installed,ACTION_ON_ITEM,MAINT_ITEM:screw,91
MAINT_ITEM:rocker cover gasket,HAS_LOCATION,LOC:number 3,85
FAULT:loose,ISSUE_ON_ITEM,MAINT_ITEM:baffle seal,85
ACTION:removed,ACTION_ON_ITEM,MAINT_ITEM:cylinder,84
MAINT_ITEM:baffle,HAS_LOCATION,LOC:right-hand,82
MAINT_ITEM:rocker cover,HAS_LOCATION,LOC:number 3,82
MAINT_ITEM:cylinder,HAS_PART,MAINT_ITEM:intake gaskets,79
FAULT:missing,ISSUE_ON_ITEM,MAINT_ITEM:screw,76
ACTION:stop drilled,ACTION_ADDRESSES_ISSUE,FAULT:crack,75
MAINT_ITEM:rocker cover,HAS_LOCATION,LOC:number 2,75
ACTION:replaced,ACTION_ADDRESSES_ISSUE,FAULT:worn,74
MAINT_ITEM:rocker cover gasket,HAS_LOCATION,LOC:number 2,74
MAINT_ITEM:engine,HAS_PART,MAINT_ITEM:rocker cover,71
MAINT_ITEM:baffle,HAS_LOCATION,LOC:forward,69
ACTION:leak check,ACTION_INVESTIGATES_ISSUE,ABN_PROC:leaking,68
MAINT_ITEM:cylinder,HAS_PART,MAINT_ITEM:intake,67
ACTION:replaced,ACTION_ADDRESSES_ISSUE,FAULT:missing,64
MAINT_ITEM:cylinder,HAS_LOCATION,LOC:number 2 and 4,64
ACTION:resecured,ACTION_ADDRESSES_ISSUE,FAULT:loose,63
MAINT_ITEM:engine,HAS_PART,MAINT_ITEM:baffle seal,63
MAINT_ITEM:engine,HAS_PART,MAINT_ITEM:rocker covers,63
MAINT_ITEM:rocker cover gasket,HAS_LOCATION,LOC:number 4,62
MAINT_ITEM:cylinder,HAS_PART,MAINT_ITEM:baffle seal,62
ACTION:replaced,ACTION_ON_ITEM,MAINT_ITEM:baffle plugs,59
ACTION:fabricated,ACTION_ON_ITEM,MAINT_ITEM:patch,58
MAINT_ITEM:baffle,HAS_LOCATION,LOC:number 3,57
MAINT_ITEM:engine,HAS_PART,MAINT_ITEM:rocker cover gaskets,56
ABN_PROC:leaking,ISSUE_ON_ITEM,MAINT_ITEM:induction tube gasket,54
ACTION:replaced,ACTION_ADDRESSES_ISSUE,FAULT:cracked,52
ACTION:tightened,ACTION_ON_ITEM,MAINT_ITEM:screws,52
ABN_PROC:leaking,ISSUE_ON_ITEM,MAINT_ITEM:rocker gaskets,52
ACTION:removed,ACTION_ON_ITEM,MAINT_ITEM:engine,51
MAINT_ITEM:baffle seal,HAS_LOCATION,LOC:forward,51
MAINT_ITEM:engine,HAS_PART,MAINT_ITEM:rocker cover gasket,51
MAINT_ITEM:engine,HAS_LOCATION,LOC:forward,50
MAINT_ITEM:rocker cover,HAS_LOCATION,LOC:number 4,50
ACTION:resecured,ACTION_ON_ITEM,MAINT_ITEM:baffle seal,49
ACTION:replaced,ACTION_ADDRESSES_ISSUE,FAULT:loose,48
MAINT_ITEM:engine,HAS_LOCATION,LOC:rear,48
MAINT_ITEM:intake gaskets,HAS_LOCATION,LOC:number 2 and 4,48
MAINT_ITEM:intakes,HAS_LOCATION,LOC:number 2 and 4,48
MAINT_ITEM:cylinder,HAS_PART,MAINT_ITEM:exhaust valve,48
ACTION:operations,ACTION_RESULTS_IN_OUTCOME,OUTCOME:good,47
ACTION:secured,ACTION_ADDRESSES_ISSUE,FAULT:loose,46
MAINT_ITEM:baffle,HAS_LOCATION,LOC:left-hand,46
ACTION:installed,ACTION_ADDRESSES_ISSUE,FAULT:worn,45
ACTION:ran up,ACTION_ON_ITEM,MAINT_ITEM:aircraft,45
ABN_PROC:leaking,ISSUE_ON_ITEM,MAINT_ITEM:intake tube gasket,45
MAINT_ITEM:baffle,HAS_PART,MAINT_ITEM:screw,44
MAINT_ITEM:rocker cover,HAS_LOCATION,LOC:number 1,43
ACTION:installed,ACTION_ADDRESSES_ISSUE,FAULT:cracked,42
ACTION:fabricated,ACTION_USES_ITEM,MAINT_ITEM:like material,42
ACTION:ran,ACTION_ON_ITEM,MAINT_ITEM:engine,40
ACTION:secured,ACTION_ON_ITEM,MAINT_ITEM:baffle seal,40
ACTION:tightened,ACTION_ON_ITEM,MAINT_ITEM:screw,40
ACTION:operations check,ACTION_RESULTS_IN_OUTCOME,OUTCOME:good,40
MAINT_ITEM:intake,HAS_LOCATION,LOC:number 1,39
ACTION:replaced,ACTION_ADDRESSES_ISSUE,FAULT:damaged,38
ACTION:installed,ACTION_ON_ITEM,MAINT_ITEM:gasket,38
ABN_PROC:leaks,ISSUE_ON_ITEM,MAINT_ITEM:intake gasket,38
FAULT:worn,ISSUE_ON_ITEM,MAINT_ITEM:baffle plugs,38
ACTION:replaced,ACTION_ADDRESSES_ISSUE,FAULT:torn,37
ACTION:replaced,ACTION_ON_ITEM,MAINT_ITEM:cylinder,37
MAINT_ITEM:cylinder,HAS_PART,MAINT_ITEM:rocker cover,37
ACTION:installed,ACTION_ADDRESSES_ISSUE,FAULT:broken,36
ACTION:removed,ACTION_ON_ITEM,MAINT_ITEM:baffle plugs,36
ACTION:started,ACTION_ON_ITEM,MAINT_ITEM:aircraft,36
MAINT_ITEM:cylinder,HAS_LOCATION,LOC:number 2 and 3,36
MAINT_ITEM:cylinder,HAS_LOCATION,LOC:number 3 and 4,36
MAINT_ITEM:rocker cover gaskets,HAS_LOCATION,LOC:number 2 and 3,36
ABN_PROC:leaking,ISSUE_ON_ITEM,MAINT_ITEM:rocker gasket,36
ACTION:replaced,ACTION_ON_ITEM,MAINT_ITEM:screw,35
MAINT_ITEM:intake gasket,HAS_LOCATION,LOC:number 1,35
FAULT:missing,ISSUE_ON_ITEM,MAINT_ITEM:baffle screw,35
ACTION:fabricated,ACTION_ADDRESSES_ISSUE,FAULT:cracked,33
ACTION:installed,ACTION_ON_ITEM,MAINT_ITEM:patch,33
MAINT_ITEM:baffle,HAS_LOCATION,LOC:number 4,33
MAINT_ITEM:engine,HAS_LOCATION,LOC:left,33
ACTION:cleaned,ACTION_ADDRESSES_ISSUE,ABN_PROC:leaking,32
MAINT_ITEM:baffle seal,HAS_LOCATION,LOC:right-hand,32
MAINT_ITEM:cylinder,HAS_LOCATION,LOC:right-hand,32
MAINT_ITEM:rocker cover gasket,HAS_LOCATION,LOC:number 1,32
MAINT_ITEM:rocker covers,HAS_LOCATION,LOC:number 2 and 4,32
MAINT_ITEM:cylinder,HAS_PART,MAINT_ITEM:intake tube,31
FAULT:cracked,ISSUE_ON_ITEM,MAINT_ITEM:cylinder,31
MAINT_ITEM:baffle,HAS_LOCATION,LOC:side,30
ACTION:replaced,ACTION_ON_ITEM,MAINT_ITEM:baffle,29
ACTION:replaced,ACTION_ON_ITEM,MAINT_ITEM:baffle plug,29
ACTION:replaced,ACTION_ADDRESSES_ISSUE,ABN_PROC:leak,28
ACTION:tightened,ACTION_ADDRESSES_ISSUE,ABN_PROC:leaking,28
MAINT_ITEM:intake gaskets,HAS_LOCATION,LOC:number 2 and 3,28
MAINT_ITEM:intake gaskets,HAS_LOCATION,LOC:number 3 and 4,28
MAINT_ITEM:intakes,HAS_LOCATION,LOC:number 3 and 4,28
FAULT:failed,ISSUE_ON_ITEM,MAINT_ITEM:cylinder,28
FAULT:loose,ISSUE_ON_ITEM,MAINT_ITEM:baffle screw,28
ACTION:installed,ACTION_ADDRESSES_ISSUE,FAULT:loose,27
ACTION:installed,ACTION_ON_ITEM,MAINT_ITEM:baffle,27
ACTION:installed,ACTION_ON_ITEM,MAINT_ITEM:induction tube gasket,27
ABN_PROC:leaks,ISSUE_ON_ITEM,MAINT_ITEM:intake,27
ABN_PROC:ran rough,ISSUE_ON_ITEM,MAINT_ITEM:engine,27
ACTION:installed,ACTION_ON_ITEM,MAINT_ITEM:intake gasket,26
FAULT:loose,ISSUE_ON_ITEM,MAINT_ITEM:rocker box cover screws,26
FAULT:sheared,ISSUE_ON_ITEM,MAINT_ITEM:rivets,26
ACTION:ground run,ACTION_ON_ITEM,MAINT_ITEM:engine,25
MAINT_ITEM:intakes,HAS_LOCATION,"LOC:2 , 3 and 4",25
MAINT_ITEM:intakes,HAS_LOCATION,LOC:number 2 and 3,25
ABN_PROC:leaking,ISSUE_ON_ITEM,MAINT_ITEM:intake tube,25
FAULT:torn,ISSUE_ON_ITEM,MAINT_ITEM:baffle seal,25
ACTION:cleaned,ACTION_ADDRESSES_ISSUE,FAULT:dirty,24
ACTION:replaced,ACTION_ON_ITEM,MAINT_ITEM:plugs,24
MAINT_ITEM:induction tube gasket,HAS_LOCATION,LOC:number 2,24
MAINT_ITEM:rocker cover gaskets,HAS_LOCATION,LOC:number 2 and 4,24
MAINT_ITEM:cylinder,HAS_PART,MAINT_ITEM:rocker covers,24
MAINT_ITEM:engine,HAS_PART,MAINT_ITEM:baffle screw,24
ABN_PROC:roughness,ISSUE_ON_ITEM,MAINT_ITEM:engine,24
ACTION:repair,ACTION_ON_ITEM,MAINT_ITEM:engine,23
ACTION:replaced,ACTION_ON_ITEM,MAINT_ITEM:baffle seal,23
ACTION:replaced,ACTION_ON_ITEM,MAINT_ITEM:rocker gaskets,23
MAINT_ITEM:cylinder,HAS_LOCATION,LOC:number 1 and 3,23
MAINT_ITEM:cylinder,HAS_PART,MAINT_ITEM:baffle screw,23
ACTION:leak check,ACTION_ON_ITEM,MAINT_ITEM:engine,22
ACTION:replaced,ACTION_ON_ITEM,MAINT_ITEM:rivets,22
ACTION:started,ACTION_ON_ITEM,MAINT_ITEM:engine,22
MAINT_ITEM:baffle,HAS_LOCATION,LOC:rear,22
MAINT_ITEM:baffle plug,HAS_LOCATION,LOC:right-hand,22
MAINT_ITEM:intake gaskets,HAS_LOCATION,"LOC:number 2 , 3 , 4",22
MAINT_ITEM:intake tube gasket,HAS_LOCATION,LOC:number 3,22
MAINT_ITEM:engine,HAS_PART,MAINT_ITEM:oil cooler,22
FAULT:no compression,ISSUE_ON_ITEM,MAINT_ITEM:cylinder,22
ABN_PROC:overspeed,ISSUE_ON_ITEM,MAINT_ITEM:engine,22
ACTION:replaced,ACTION_ADDRESSES_ISSUE,FAULT:sheared,21
ACTION:leak check,ACTION_ON_ITEM,MAINT_ITEM:cylinder,21
ACTION:removed,ACTION_ON_ITEM,MAINT_ITEM:baffle plug,21
MAINT_ITEM:rocker covers,HAS_LOCATION,LOC:number 2 and 3,21
FAULT:missing,ISSUE_ON_ITEM,MAINT_ITEM:baffle plug,21
ACTION:installed,ACTION_ON_ITEM,MAINT_ITEM:plug,20
ACTION:removed,ACTION_ON_ITEM,MAINT_ITEM:rivets,20
ACTION:tightened,ACTION_ON_ITEM,MAINT_ITEM:hose clamps,20
MAINT_ITEM:baffle,HAS_LOCATION,LOC:front,20
MAINT_ITEM:cylinder,HAS_LOCATION,"LOC:number 2 , 3 and 4",20
MAINT_ITEM:engine,HAS_LOCATION,LOC:aft,20
MAINT_ITEM:rocker cover gaskets,HAS_LOCATION,LOC:number 3 and 4,20
MAINT_ITEM:engine,HAS_PART,MAINT_ITEM:baffle plugs,20
MAINT_ITEM:engine,HAS_PART,MAINT_ITEM:seal,20
FAULT:loose,ISSUE_ON_ITEM,MAINT_ITEM:rocker cover screws,20
FAULT:loose,ISSUE_ON_ITEM,MAINT_ITEM:screw,20
FAULT:missing,ISSUE_ON_ITEM,MAINT_ITEM:hardware,20
ACTION:leak check,ACTION_INVESTIGATES_ISSUE,FAULT:low,19
ACTION:leak check,ACTION_ON_ITEM,MAINT_ITEM:aircraft,19
ACTION:removed,ACTION_ON_ITEM,MAINT_ITEM:rocker cover,19
MAINT_ITEM:baffle,HAS_LOCATION,LOC:number 1,19
MAINT_ITEM:cylinder,HAS_LOCATION,LOC:left-hand,19
MAINT_ITEM:rocker covers,HAS_LOCATION,LOC:number 3 and 4,19
MAINT_ITEM:cylinder,HAS_PART,MAINT_ITEM:screw,19
MAINT_ITEM:engine,HAS_PART,MAINT_ITEM:baffle tie rod,19
MAINT_ITEM:engine,HAS_PART,MAINT_ITEM:screw,19
FAULT:loose,ISSUE_ON_ITEM,MAINT_ITEM:hose clamps,19
FAULT:missing,ISSUE_ON_ITEM,MAINT_ITEM:baffle,19
ABN_PROC:rough,ISSUE_ON_ITEM,MAINT_ITEM:engine,19
ACTION:installed,ACTION_ON_ITEM,MAINT_ITEM:baffle plug,18
ACTION:installed,ACTION_ON_ITEM,MAINT_ITEM:gaskets,18
ACTION:installed,ACTION_ON_ITEM,MAINT_ITEM:hardware,18
ACTION:operations,ACTION_ON_ITEM,MAINT_ITEM:aircraft,18
ACTION:checks,ACTION_RESULTS_IN_OUTCOME,OUTCOME:good,18
ACTION:installed,ACTION_USES_ITEM,MAINT_ITEM:rtv,18
MAINT_ITEM:intake gasket,HAS_LOCATION,LOC:left-hand,18
MAINT_ITEM:engine,HAS_PART,MAINT_ITEM:bolt,18
MAINT_ITEM:rocker cover,HAS_PART,MAINT_ITEM:screw,18
ABN_PROC:leaks,ISSUE_ON_ITEM,MAINT_ITEM:rocker cover gasket,18
FAULT:loose,ISSUE_ON_ITEM,MAINT_ITEM:baffle,18
ACTION:reattached,ACTION_ADDRESSES_ISSUE,FAULT:loose,17
ACTION:cleaned,ACTION_ON_ITEM,MAINT_ITEM:sniffler valves,17
ACTION:installed,ACTION_ON_ITEM,MAINT_ITEM:rocker box cover gasket,17
ACTION:replaced,ACTION_ON_ITEM,MAINT_ITEM:plug,17
ACTION:start assist,ACTION_ON_ITEM,MAINT_ITEM:aircraft,17
MAINT_ITEM:baffle seal,HAS_LOCATION,LOC:number 2,17
FAULT:broken,ISSUE_ON_ITEM,MAINT_ITEM:baffle tie rod,17
FAULT:crack,ISSUE_ON_ITEM,MAINT_ITEM:baffling,17
ABN_PROC:rough running,ISSUE_ON_ITEM,MAINT_ITEM:engine,17
ACTION:changed,ACTION_ON_ITEM,MAINT_ITEM:cylinder,16
ACTION:cleaned,ACTION_ON_ITEM,MAINT_ITEM:engine,16
ACTION:installed,ACTION_ON_ITEM,MAINT_ITEM:cylinder assembly,16
ACTION:installed,ACTION_ON_ITEM,MAINT_ITEM:rivets,16
ACTION:operations,ACTION_ON_ITEM,MAINT_ITEM:engine,16
ACTION:operations check,ACTION_ON_ITEM,MAINT_ITEM:engine,16
ACTION:ran up,ACTION_ON_ITEM,MAINT_ITEM:engine,16
