node_id,label,type,mention_count,record_count
ACTION:replaced,replaced,ACTION,3369,3341
ACTION:removed,removed,ACTION,3064,3013
ABN_PROC:leaking,leaking,ABN_PROC,2932,2922
MAINT_ITEM:engine,engine,MAINT_ITEM,2678,2255
MAINT_ITEM:cylinder,cylinder,MAINT_ITEM,1958,1669
LOC:right-hand,right-hand,LOC,1219,1070
LOC:left-hand,left-hand,LOC,1088,954
LOC:number 2,number 2,LOC,1138,932
MAINT_ITEM:intake gasket,intake gasket,MAINT_ITEM,1144,885
LOC:number 3,number 3,LOC,1015,858
MAINT_ITEM:gasket,gasket,MAINT_ITEM,856,850
LOC:number 4,number 4,LOC,1012,848
ACTION:installed,installed,ACTION,796,783
MAINT_ITEM:intake,intake,MAINT_ITEM,611,601
MAINT_ITEM:baffle,baffle,MAINT_ITEM,747,599
MAINT_ITEM:rocker cover gasket,rocker cover gasket,MAINT_ITEM,685,499
MAINT_ITEM:gaskets,gaskets,MAINT_ITEM,429,427
MAINT_ITEM:intake gaskets,intake gaskets,MAINT_ITEM,537,426
LOC:number 1,number 1,LOC,484,423
FAULT:loose,loose,FAULT,427,412
MAINT_ITEM:rocker cover gaskets,rocker cover gaskets,MAINT_ITEM,517,374
FAULT:cracked,cracked,FAULT,337,326
MAINT_ITEM:rocker cover,rocker cover,MAINT_ITEM,325,311
OUTCOME:good,good,OUTCOME,306,300
MAINT_ITEM:intakes,intakes,MAINT_ITEM,267,262
FAULT:missing,missing,FAULT,281,257
LOC:number 2 and 4,number 2 and 4,LOC,283,254
LOC:aft,aft,LOC,270,247
MAINT_ITEM:aircraft,aircraft,MAINT_ITEM,267,239
FAULT:crack,crack,FAULT,284,223
ACTION:stop drilled,stop drilled,ACTION,222,222
LOC:forward,forward,LOC,238,218
ACTION:tightened,tightened,ACTION,217,217
MAINT_ITEM:rocker covers,rocker covers,MAINT_ITEM,222,208
MAINT_ITEM:baffle seal,baffle seal,MAINT_ITEM,305,199
MAINT_ITEM:screw,screw,MAINT_ITEM,282,196
ACTION:leak check,leak check,ACTION,181,181
FAULT:broken,broken,FAULT,184,179
ACTION:ran,ran,ACTION,176,171
ACTION:cleaned,cleaned,ACTION,182,169
FAULT:worn,worn,FAULT,180,161
FAULT:low,low,FAULT,158,155
LOC:number 2 and 3,number 2 and 3,LOC,170,143
