action,reference,record_count
corrosion prevention,lycoming,5
complied,lycoming,4
inspected,lycoming,3
performed,lycoming,3
began performing,lycoming,2
complied,lycom,2
finished installing,lycoming overh,2
installed,standard reference material,2
reamed,lycoming,2
removed,maintenance manual,2
replaced,lycoming,2
started,flooded start procedure,2
adjusted,hmi,1
began,lycoming,1
began insp,lycoming,1
break - in flight,cylinder chapter,1
change,lycoming overhaul manual,1
completed,lycoming,1
completed insp,lycoming,1
complied,ad e 2,1
complied,ad e 2015 - 19 - 07,1
complied,lycoming 369 m,1
complied,lycoming insp,1
connected,rolls royce maintenance manual,1
corrosion prevention,lycoming operations manual,1
corrosion protection,lycoming operations manual,1
cylinder installation,lycoming overhaul manual,1
dressed out nick,main,1
filter insp,lycoming service instruction 1492 d,1
insp,lycoming,1
install,maintenance manual,1
installation,lycoming overhaul m,1
installed,lycom,1
installed,lycoming,1
installed,lycoming direct drive over,1
installed,lycoming overhaul manual,1
installed,paragraph 4 - 53,1
installed,se standard reference material,1
installed,se standard reference material 51,1
installed,se standard reference material 51 - 40 - 0,1
installed,standard reference material 51,1
installed,standard reference material chapter 51 - 71,1
installed,structural r,1
oil change,lycoming service instruction 1492 d,1
performed,fouled plug procedure,1
performed,service instruction 388 c,1
preserved,lycoming operations manual,1
ran,engine start checklist,1
reinstalled,maintenance man,1
removed,direct drive overhau,1
removed,lycoming di,1
removed,lycoming dir,1
removed,lycoming overhaul,1
removed,lycoming overhaul manual,1
removed,se standard reference material 51 - 40 - 0,1
repair,maintenance man,1
repaired,"chapter 4 , sec 5",1
repaired,standard reference material,1
replaced,direct drive overhau,1
replaced,lycoming di,1
replaced,lycoming dir,1
replaced,lycoming overhaul,1
replaced,lycoming overhaul manual,1
replacement,lycoming direct drive,1
rerigged,hmi,1
reswaged,lycoming overhaul,1
reswaged,lycoming overhaul manual,1
reswedged,lycoming overhaul,1
reswedged,lycoming overhaul manual,1
reviewed,lycoming,1
riveted,standard reference material,1
riveted,standard reference material 51,1
secured,tywrap,1
started assembly,direct drive manual,1
swedged,lycoming direct drive manual,1
swedged,lycoming overhaul,1
tried,cold start checklist,1
tried,fouled plug procedure,1
