issue,action,kind,record_count
leaking,replaced,addresses,2606
loose,tightened,addresses,178
leaking,installed,addresses,171
missing,installed,addresses,169
cracked,stop drilled,addresses,155
broken,replaced,addresses,123
leaks,replaced,addresses,93
crack,stop drilled,addresses,75
worn,replaced,addresses,74
leaking,leak check,investigates,68
missing,replaced,addresses,64
loose,resecured,addresses,63
cracked,replaced,addresses,52
loose,replaced,addresses,48
loose,secured,addresses,46
worn,installed,addresses,45
cracked,installed,addresses,42
damaged,replaced,addresses,38
torn,replaced,addresses,37
broken,installed,addresses,36
cracked,fabricated,addresses,33
leaking,cleaned,addresses,32
leak,replaced,addresses,28
leaking,tightened,addresses,28
loose,installed,addresses,27
dirty,cleaned,addresses,24
sheared,replaced,addresses,21
low,leak check,investigates,19
loose,reattached,addresses,17
sheared,installed,addresses,14
low,staked,addresses,13
worn,applied,addresses,13
leaks,cleaned,addresses,11
low,ran,investigates,11
crack,installed,addresses,10
leaking,torqued,addresses,10
low,replaced,addresses,10
chafing,installed,addresses,9
leak,leak check,investigates,9
loose,resafetied,addresses,9
chafing,repositioned,addresses,8
cracked,repaired,addresses,8
leaks,installed,addresses,8
low,operations,investigates,8
low,operations check,investigates,8
missing,reinstalled,addresses,8
bad,installed,addresses,7
chafing,replaced,addresses,7
failed,leak check,investigates,7
gouged,inspected,investigates,7
leaking,ran,investigates,7
leaking,sealed,addresses,7
loose,reinstalled,addresses,7
metal found in oil,removed,addresses,7
overspeed,reviewed,investigates,7
pulled through,installed,addresses,7
ran rough,ran up,investigates,7
sheared,reinstalled,addresses,7
broken,fabricated,addresses,6
chafing,applied,addresses,6
cracked,patched,addresses,6
leaking,inspected,investigates,6
low,compression check,investigates,6
low,installed,addresses,6
overspeed,complied,investigates,6
pulled through,replaced,addresses,6
rough,ran,investigates,6
damaged,installed,addresses,5
elongated,installed,addresses,5
leak,cleaned,addresses,5
leak,sealed,addresses,5
leaking,reinstalled,addresses,5
loose,inspected,investigates,5
low,adjusted,addresses,5
low,ran up,investigates,5
no compression,leak check,investigates,5
overspeed,inspected,investigates,5
ran rough,ground run,investigates,5
ran very rough,ran,investigates,5
roughness,maintenance flight,investigates,5
seeping,installed,addresses,5
torn,installed,addresses,5
worn,repaired,addresses,5
would not start,started,investigates,5
bad,replaced,addresses,4
broken,secured,addresses,4
chafing,inspected,investigates,4
cracks,stop drilled,addresses,4
dirty,washed,addresses,4
failed,replaced,addresses,4
leak,ran,investigates,4
leak,torqued,addresses,4
leaking,operations,investigates,4
leaking,replace,addresses,4
leaking,reswaged,addresses,4
loose,adjusted,addresses,4
low,fitted,addresses,4
low,run up,investigates,4
low,staked,investigates,4
oil leak,leak check,investigates,4
overspeed,determined,investigates,4
ran rough,ran,investigates,4
running rough,ran,investigates,4
running very rough,ran,investigates,4
scored,replaced,addresses,4
shaking,ran,investigates,4
torn,applied,addresses,4
torn,secured,addresses,4
vibration,ran,investigates,4
vibration,test flight,investigates,4
worn,secured,addresses,4
backfired,ground run,investigates,3
broken off,installed,addresses,3
coming loose,resecured,addresses,3
crack,inspected,investigates,3
crack,replaced,addresses,3
cracked,inspected,investigates,3
cracked,reinstalled,addresses,3
failed,clearance check,investigates,3
failed,installed,addresses,3
leak,installed,addresses,3
leaking,applied,addresses,3
leaking,resealed,addresses,3
leaking,reswedged,addresses,3
leaking,swaged,addresses,3
leaks,leak check,investigates,3
loose,riveted,addresses,3
low,borescoped,investigates,3
low,compression test,investigates,3
low,lapped,addresses,3
no compression,inspected,investigates,3
