issue,action,item,kind,record_count
leaking,replaced,gasket,addresses,727
leaking,replaced,intake gasket,addresses,500
leaking,replaced,gaskets,addresses,390
leaking,replaced,rocker cover gasket,addresses,327
leaking,replaced,rocker cover gaskets,addresses,278
leaking,replaced,intake gaskets,addresses,260
cracked,stop drilled,baffle,addresses,126
missing,installed,screw,addresses,86
leaks,replaced,gasket,addresses,63
loose,tightened,screws,addresses,50
crack,stop drilled,baffle,addresses,44
loose,tightened,screw,addresses,37
loose,resecured,baffle seal,addresses,35
missing,replaced,screw,addresses,29
leaking,installed,gasket,addresses,27
leaking,installed,induction tube gasket,addresses,27
leaking,installed,intake gasket,addresses,25
worn,replaced,baffle plugs,addresses,25
cracked,fabricated,patch,addresses,24
leaking,replaced,rocker gaskets,addresses,23
cracked,replaced,baffle,addresses,21
cracked,fabricated,like material,addresses,20
loose,secured,baffle seal,addresses,19
loose,tightened,hose clamps,addresses,18
cracked,installed,patch,addresses,17
leaking,installed,gaskets,addresses,15
leaking,installed,rocker box cover gasket,addresses,15
leaking,replaced,rocker gasket,addresses,15
leaks,replaced,intake gasket,addresses,15
worn,replaced,plugs,addresses,15
missing,installed,hardware,addresses,14
damaged,replaced,baffle plugs,addresses,13
leaking,installed,intake gaskets,addresses,13
leaking,installed,rocker box cover gaskets,addresses,13
leaking,replaced,rocker cover,addresses,12
dirty,cleaned,sniffler valves,addresses,11
leaking,replaced,cylinder,addresses,11
worn,installed,rtv,addresses,11
cracked,installed,baffle,addresses,10
leaking,leak check,,investigates,10
low,ran,aircraft,investigates,10
missing,installed,plug,addresses,10
sheared,replaced,rivets,addresses,10
leaking,leak check,gasket,investigates,9
leaking,replaced,silicone gasket,addresses,9
leaking,tightened,clamps,addresses,9
broken,replaced,baffle plugs,addresses,8
broken,replaced,baffle spring,addresses,8
broken,replaced,baffle tie rod,addresses,8
cracked,replaced,bracket,addresses,8
cracked,stop drilled,baffling,addresses,8
damaged,replaced,baffle plug,addresses,8
leak,replaced,gaskets,addresses,8
leaking,installed,intake tube gasket,addresses,8
leaks,replaced,rocker cover gasket,addresses,8
low,leak check,,investigates,8
missing,installed,bolt,addresses,8
sheared,installed,rivets,addresses,8
torn,replaced,baffle seal,addresses,8
torn,replaced,rocker cover gasket,addresses,8
broken,replaced,baffle plug,addresses,7
broken,replaced,baffle tie,addresses,7
broken,replaced,standoff,addresses,7
broken,replaced,tie rod,addresses,7
crack,stop drilled,,addresses,7
gouged,inspected,crankshaft,investigates,7
leaking,leak check,gaskets,investigates,7
leaking,replaced,rocker covers,addresses,7
loose,reattached,baffle seal,addresses,7
loose,replaced,rivets,addresses,7
loose,tightened,bolt,addresses,7
loose,tightened,clamps,addresses,7
metal found in oil,removed,engine,addresses,7
worn,installed,seal,addresses,7
worn,replaced,baffle plug,addresses,7
broken,replaced,spring,addresses,6
crack,stop drilled,baffling,addresses,6
cracked,installed,like material,addresses,6
cracked,repaired,baffle,addresses,6
cracked,stop drilled,cylinder,addresses,6
leaking,cleaned,gasket,addresses,6
leaking,leak check,intake gaskets,investigates,6
leaking,replaced,induction tube gasket,addresses,6
loose,replaced,baffle seal,addresses,6
loose,resecured,seal,addresses,6
loose,secured,pop rivets,addresses,6
loose,secured,seal,addresses,6
missing,installed,baffle screw,addresses,6
missing,installed,washers,addresses,6
missing,replaced,plug,addresses,6
overspeed,complied,,investigates,6
rough,ran,aircraft,investigates,6
worn,replaced,plug,addresses,6
broken,installed,baffle plug,addresses,5
broken,replaced,rod,addresses,5
cracked,installed,,addresses,5
cracked,patched,baffle,addresses,5
failed,leak check,exhaust valve,investigates,5
leaking,replaced,intake tube gasket,addresses,5
leaking,replaced,intakes,addresses,5
loose,installed,screws,addresses,5
loose,replaced,rivet,addresses,5
loose,replaced,screws,addresses,5
loose,tightened,bolts,addresses,5
low,compression check,cylinder,investigates,5
low,leak check,aircraft,investigates,5
low,leak check,cylinder,investigates,5
low,operations,,investigates,5
missing,installed,baffle,addresses,5
missing,installed,baffle plug,addresses,5
missing,installed,nut,addresses,5
missing,installed,rivets,addresses,5
missing,installed,screws,addresses,5
ran rough,ran up,aircraft,investigates,5
roughness,maintenance flight,,investigates,5
sheared,replaced,rivet,addresses,5
worn,applied,baffle seal,addresses,5
worn,applied,rtv,addresses,5
broken,installed,baffle plugs,addresses,4
broken,replaced,bracket,addresses,4
chafing,repositioned,baffle,addresses,4
crack,installed,patch,addresses,4
crack,stop drilled,cylinder baffling,addresses,4
cracked,patched,like material,addresses,4
cracked,replaced,cylinder,addresses,4
cracked,stop drilled,cylinder baffling,addresses,4
dirty,washed,engine,addresses,4
failed,replaced,cylinder,addresses,4
leak,replaced,gasket,addresses,4
leak,replaced,intake gasket,addresses,4
leak,replaced,intake gaskets,addresses,4
leak,replaced,rocker cover gaskets,addresses,4
leaking,installed,,addresses,4
leaking,leak check,rocker cover gasket,investigates,4
leaking,ran,aircraft,investigates,4
leaking,replaced,,addresses,4
leaking,replaced,intake,addresses,4
leaking,replaced,valve cover gaskets,addresses,4
leaking,torqued,bolts,addresses,4
loose,reinstalled,,addresses,4
loose,replaced,baffle screw,addresses,4
loose,replaced,screw,addresses,4
loose,secured,rivet,addresses,4
loose,tightened,,addresses,4
loose,tightened,oil filler tube,addresses,4
low,operations check,cylinder,investigates,4
low,ran up,aircraft,investigates,4
low,replaced,cylinder,addresses,4
low,staked,exhaust valve,addresses,4
missing,reinstalled,screw,addresses,4
missing,replaced,bolt,addresses,4
overspeed,reviewed,fdm data,investigates,4
ran rough,ran,aircraft,investigates,4
running rough,ran,aircraft,investigates,4
torn,secured,baffle seal,addresses,4
vibration,test flight,,investigates,4
worn,applied,seal,addresses,4
