item,issue,issue_type,record_count
intake gasket,leaking,ABN_PROC,559
intake,leaking,ABN_PROC,518
rocker cover gasket,leaking,ABN_PROC,304
intakes,leaking,ABN_PROC,256
intake gaskets,leaking,ABN_PROC,251
rocker cover,leaking,ABN_PROC,250
baffle,cracked,FAULT,224
rocker cover gaskets,leaking,ABN_PROC,213
rocker covers,leaking,ABN_PROC,177
baffle,crack,FAULT,165
cylinder,low,FAULT,145
baffle seal,loose,FAULT,85
screw,missing,FAULT,76
induction tube gasket,leaking,ABN_PROC,54
rocker gaskets,leaking,ABN_PROC,52
intake tube gasket,leaking,ABN_PROC,45
intake gasket,leaks,ABN_PROC,38
baffle plugs,worn,FAULT,38
rocker gasket,leaking,ABN_PROC,36
baffle screw,missing,FAULT,35
cylinder,cracked,FAULT,31
cylinder,failed,FAULT,28
baffle screw,loose,FAULT,28
intake,leaks,ABN_PROC,27
engine,ran rough,ABN_PROC,27
rocker box cover screws,loose,FAULT,26
rivets,sheared,FAULT,26
intake tube,leaking,ABN_PROC,25
baffle seal,torn,FAULT,25
engine,roughness,ABN_PROC,24
cylinder,no compression,FAULT,22
engine,overspeed,ABN_PROC,22
baffle plug,missing,FAULT,21
rocker cover screws,loose,FAULT,20
screw,loose,FAULT,20
hardware,missing,FAULT,20
hose clamps,loose,FAULT,19
baffle,missing,FAULT,19
engine,rough,ABN_PROC,19
rocker cover gasket,leaks,ABN_PROC,18
baffle,loose,FAULT,18
baffle tie rod,broken,FAULT,17
baffling,crack,FAULT,17
engine,rough running,ABN_PROC,17
exhaust valve,failed,FAULT,16
engine,running rough,ABN_PROC,16
seal,worn,FAULT,16
baffle plugs,damaged,FAULT,15
rocker box cover gasket,leaking,ABN_PROC,15
baffle spring,broken,FAULT,14
baffling,cracked,FAULT,14
propeller,overspeed,ABN_PROC,14
rivet,sheared,FAULT,14
baffle plug,worn,FAULT,14
baffle,cracks,FAULT,13
sniffler valves,dirty,FAULT,13
screws,loose,FAULT,13
bolt,missing,FAULT,13
engine,vibration,ABN_PROC,13
baffle plug,damaged,FAULT,12
valve,stuck,FAULT,12
baffle seal,worn,FAULT,12
black seal,worn,FAULT,12
engine,quit,ABN_PROC,11
engine,ran very rough,ABN_PROC,11
rocker cover gasket,torn,FAULT,11
baffle plug,broken,FAULT,10
baffle,chafing,ABN_PROC,10
exhaust valve,leaking,ABN_PROC,10
intake tube gaskets,leaking,ABN_PROC,10
rocker box cover gaskets,leaking,ABN_PROC,10
rivets,loose,FAULT,10
engine,metal found in oil,FAULT,10
engine,started running rough,ABN_PROC,10
engine,backfired,ABN_PROC,9
baffle plugs,broken,FAULT,9
rivets,broken,FAULT,9
tabs,broken,FAULT,9
rocker cover,missing,FAULT,9
baffle,worn,FAULT,9
baffle tie,broken,FAULT,8
oil return line,chafing,ABN_PROC,8
cylinder baffling,crack,FAULT,8
baffle bracket,cracked,FAULT,8
intake,leak,ABN_PROC,8
rocker cover,leaks,ABN_PROC,8
baffle mounting screw,loose,FAULT,8
intake tube,loose,FAULT,8
baffle plugs,missing,FAULT,8
rivets,missing,FAULT,8
rocker cover screw,missing,FAULT,8
engine,running very rough,ABN_PROC,8
engine,shutdown,ABN_PROC,8
cylinder,air coming out exhaus,ABN_PROC,7
exhaust valve,burnt,FAULT,7
cylinder,crack,FAULT,7
crankshaft,gouged,FAULT,7
exhaust,leaking,ABN_PROC,7
engine,oil leak,ABN_PROC,7
engine,partial power loss,ABN_PROC,7
engine,runs rough,ABN_PROC,7
exhaust valve,stuck,FAULT,7
engine,unusually rough,ABN_PROC,7
magneto,failed,FAULT,6
oil,leak,ABN_PROC,6
rocker cover gaskets,leak,ABN_PROC,6
bolt,leaking,ABN_PROC,6
cylinder,leaking,ABN_PROC,6
induction tube gaskets,leaking,ABN_PROC,6
baffle mount,loose,FAULT,6
baffle seals,loose,FAULT,6
clamps,loose,FAULT,6
cowl seal,loose,FAULT,6
engine,shaking,ABN_PROC,6
baffle buttons,worn,FAULT,6
engine,backfired when,ABN_PROC,5
engine,began to struggle,ABN_PROC,5
tip,came into cont,ABN_PROC,5
engine,coughed often,ABN_PROC,5
baffles,cracked,FAULT,5
cylinder baffling,cracked,FAULT,5
rocker cover,damage,FAULT,5
