source,relation,target,record_count
ACTION:replaced,ACTION_ADDRESSES_ISSUE,ABN_PROC:leaking,2605
MAINT_ITEM:engine,HAS_LOCATION,LOC:right-hand,810
ACTION:replaced,ACTION_ON_ITEM,MAINT_ITEM:gasket,802
MAINT_ITEM:engine,HAS_LOCATION,LOC:left-hand,754
ACTION:removed,ACTION_ON_ITEM,MAINT_ITEM:gasket,563
ABN_PROC:leaking,ISSUE_ON_ITEM,MAINT_ITEM:intake gasket,558
ACTION:replaced,ACTION_ON_ITEM,MAINT_ITEM:intake gasket,519
ABN_PROC:leaking,ISSUE_ON_ITEM,MAINT_ITEM:intake,518
ACTION:removed,ACTION_ON_ITEM,MAINT_ITEM:intake gasket,454
ACTION:replaced,ACTION_ON_ITEM,MAINT_ITEM:gaskets,403
MAINT_ITEM:cylinder,HAS_LOCATION,LOC:number two,364
MAINT_ITEM:cylinder,HAS_LOCATION,LOC:number three,358
MAINT_ITEM:engine,HAS_PART,MAINT_ITEM:cylinder,348
ACTION:replaced,ACTION_ON_ITEM,MAINT_ITEM:rocker cover gasket,344
MAINT_ITEM:cylinder,HAS_LOCATION,LOC:number four,343
ACTION:removed,ACTION_ON_ITEM,MAINT_ITEM:rocker cover gasket,316
ACTION:removed,ACTION_ON_ITEM,MAINT_ITEM:gaskets,311
ABN_PROC:leaking,ISSUE_ON_ITEM,MAINT_ITEM:rocker cover gasket,303
ACTION:replaced,ACTION_ON_ITEM,MAINT_ITEM:rocker cover gaskets,288
ACTION:replaced,ACTION_ON_ITEM,MAINT_ITEM:intake gaskets,267
ACTION:removed,ACTION_ON_ITEM,MAINT_ITEM:rocker cover gaskets,266
ABN_PROC:leaking,ISSUE_ON_ITEM,MAINT_ITEM:intakes,256
ABN_PROC:leaking,ISSUE_ON_ITEM,MAINT_ITEM:intake gaskets,251
ABN_PROC:leaking,ISSUE_ON_ITEM,MAINT_ITEM:rocker cover,251
MAINT_ITEM:cylinder,HAS_PART,MAINT_ITEM:intake gasket,246
