node_id,label,type,mention_count,record_count
ACTION:replaced,replaced,ACTION,3367,3339
ACTION:removed,removed,ACTION,3065,3009
ABN_PROC:leaking,leaking,ABN_PROC,2932,2921
MAINT_ITEM:engine,engine,MAINT_ITEM,2693,2254
MAINT_ITEM:cylinder,cylinder,MAINT_ITEM,1957,1665
LOC:right-hand,right-hand,LOC,1224,1074
LOC:left-hand,left-hand,LOC,1097,957
LOC:number two,number two,LOC,1117,914
MAINT_ITEM:intake gasket,intake gasket,MAINT_ITEM,1144,885
MAINT_ITEM:gasket,gasket,MAINT_ITEM,853,847
LOC:number three,number three,LOC,990,836
LOC:number four,number four,LOC,966,812
ACTION:installed,installed,ACTION,804,787
MAINT_ITEM:baffle,baffle,MAINT_ITEM,749,608
MAINT_ITEM:intake,intake,MAINT_ITEM,616,604
MAINT_ITEM:rocker cover gasket,rocker cover gasket,MAINT_ITEM,684,499
MAINT_ITEM:gaskets,gaskets,MAINT_ITEM,429,427
MAINT_ITEM:intake gaskets,intake gaskets,MAINT_ITEM,537,426
FAULT:loose,loose,FAULT,428,413
LOC:number one,number one,LOC,464,404
MAINT_ITEM:rocker cover gaskets,rocker cover gaskets,MAINT_ITEM,517,374
FAULT:cracked,cracked,FAULT,337,326
MAINT_ITEM:rocker cover,rocker cover,MAINT_ITEM,327,313
OUTCOME:good,good,OUTCOME,307,301
MAINT_ITEM:intakes,intakes,MAINT_ITEM,267,262
FAULT:missing,missing,FAULT,280,257
LOC:number two and number four,number two and number four,LOC,285,256
LOC:aft,aft,LOC,268,246
MAINT_ITEM:aircraft,aircraft,MAINT_ITEM,268,240
FAULT:crack,crack,FAULT,284,223
ACTION:stop drilled,stop drilled,ACTION,222,222
LOC:forward,forward,LOC,242,222
ACTION:tightened,tightened,ACTION,217,217
MAINT_ITEM:rocker covers,rocker covers,MAINT_ITEM,222,208
MAINT_ITEM:baffle seal,baffle seal,MAINT_ITEM,307,201
MAINT_ITEM:screw,screw,MAINT_ITEM,280,194
ACTION:leak check,leak check,ACTION,182,182
FAULT:broken,broken,FAULT,184,179
ACTION:ran,ran,ACTION,179,174
ACTION:cleaned,cleaned,ACTION,183,170
FAULT:worn,worn,FAULT,181,160
FAULT:low,low,FAULT,158,155
LOC:number two and number three,number two and number three,LOC,168,143
LOC:number three and number four,number three and number four,LOC,161,138
TECH_OBS:compression,compression,TECH_OBS,123,122
ABN_PROC:leaks,leaks,ABN_PROC,111,111
ACTION:secured,secured,ACTION,117,99
ACTION:inspected,inspected,ACTION,97,97
MAINT_ITEM:baffle plugs,baffle plugs,MAINT_ITEM,156,97
ACTION:fabricated,fabricated,ACTION,96,96
ACTION:resecured,resecured,ACTION,96,92
LOC:rear,rear,LOC,100,90
MAINT_ITEM:screws,screws,MAINT_ITEM,99,90
MAINT_ITEM:patch,patch,MAINT_ITEM,101,89
ACTION:reinstalled,reinstalled,ACTION,89,87
MAINT_ITEM:baffle plug,baffle plug,MAINT_ITEM,127,87
MAINT_ITEM:oil cooler,oil cooler,MAINT_ITEM,102,85
MAINT_ITEM:exhaust valve,exhaust valve,MAINT_ITEM,83,81
MAINT_ITEM:rivets,rivets,MAINT_ITEM,115,81
LOC:number one and number three,number one and number three,LOC,90,77
MAINT_ITEM:baffling,baffling,MAINT_ITEM,79,77
MAINT_ITEM:oil,oil,MAINT_ITEM,80,76
LOC:lower,lower,LOC,81,75
MAINT_ITEM:baffle screw,baffle screw,MAINT_ITEM,85,75
LOC:top,top,LOC,83,74
LOC:front,front,LOC,80,70
MAINT_ITEM:seal,seal,MAINT_ITEM,78,69
MAINT_ITEM:intake tube,intake tube,MAINT_ITEM,82,68
"LOC:numbers two , three and four","numbers two , three and four",LOC,71,67
MAINT_ITEM:rocker gaskets,rocker gaskets,MAINT_ITEM,75,67
ACTION:started,started,ACTION,66,64
MAINT_ITEM:bolt,bolt,MAINT_ITEM,89,63
MAINT_ITEM:cylinders,cylinders,MAINT_ITEM,64,63
ABN_PROC:leak,leak,ABN_PROC,62,62
ACTION:ran up,ran up,ACTION,61,61
"LOC:numbers two , three , and four","numbers two , three , and four",LOC,62,59
MAINT_ITEM:rivet,rivet,MAINT_ITEM,80,59
MAINT_ITEM:induction tube gasket,induction tube gasket,MAINT_ITEM,87,58
ACTION:torqued,torqued,ACTION,57,57
FAULT:failed,failed,FAULT,57,57
ACTION:operations,operations,ACTION,56,56
FAULT:damaged,damaged,FAULT,56,56
FAULT:torn,torn,FAULT,59,56
MAINT_ITEM:baffles,baffles,MAINT_ITEM,57,56
MAINT_ITEM:like material,like material,MAINT_ITEM,67,56
LOC:above,above,LOC,58,54
ACTION:adjusted,adjusted,ACTION,55,53
LOC:behind,behind,LOC,52,52
LOC:right-hand side,right-hand side,LOC,55,51
MAINT_ITEM:intake tube gasket,intake tube gasket,MAINT_ITEM,59,51
MAINT_ITEM:rocker gasket,rocker gasket,MAINT_ITEM,55,51
LOC:left,left,LOC,53,49
LOC:side,side,LOC,50,49
MAINT_ITEM:exhaust,exhaust,MAINT_ITEM,51,49
ACTION:applied,applied,ACTION,48,48
ACTION:operations check,operations check,ACTION,48,48
FAULT:sheared,sheared,FAULT,51,45
MAINT_ITEM:plug,plug,MAINT_ITEM,45,44
MAINT_ITEM:plugs,plugs,MAINT_ITEM,46,44
ABN_PROC:overspeed,overspeed,ABN_PROC,52,42
ACTION:ground run,ground run,ACTION,42,42
MAINT_ITEM:bracket,bracket,MAINT_ITEM,49,42
MAINT_ITEM:propeller,propeller,MAINT_ITEM,41,41
LOC:number one and number two,number one and number two,LOC,43,39
MAINT_ITEM:baffle tie rod,baffle tie rod,MAINT_ITEM,48,39
ABN_PROC:chafing,chafing,ABN_PROC,38,38
LOC:left-hand side,left-hand side,LOC,41,37
MAINT_ITEM:hardware,hardware,MAINT_ITEM,51,37
OUTCOME:ok,ok,OUTCOME,38,37
"LOC:number two , and number four","number two , and number four",LOC,41,36
MAINT_ITEM:cylinder assembly,cylinder assembly,MAINT_ITEM,43,36
ACTION:riveted,riveted,ACTION,44,35
LOC:number 4,number 4,LOC,35,35
MAINT_ITEM:rtv,rtv,MAINT_ITEM,39,35
MAINT_ITEM:baffle bracket,baffle bracket,MAINT_ITEM,38,34
"LOC:two , three and four","two , three and four",LOC,33,32
MAINT_ITEM:magneto,magneto,MAINT_ITEM,34,32
REFERENCE:lycoming,lycoming,REFERENCE,31,31
FAULT:dirty,dirty,FAULT,30,30
ACTION:repair,repair,ACTION,29,29
ACTION:repositioned,repositioned,ACTION,32,29
LOC:number one and number four,number one and number four,LOC,36,29
MAINT_ITEM:valve,valve,MAINT_ITEM,31,29
OUTCOME:no defects noted,no defects noted,OUTCOME,29,29
ACTION:reattached,reattached,ACTION,28,28
ACTION:repaired,repaired,ACTION,28,28
ACTION:run up,run up,ACTION,29,28
LOC:inboard,inboard,LOC,29,28
LOC:right,right,LOC,30,28
MAINT_ITEM:oil return line,oil return line,MAINT_ITEM,33,28
ABN_PROC:ran rough,ran rough,ABN_PROC,27,27
ACTION:sealed,sealed,ACTION,29,27
MAINT_ITEM:cowl,cowl,MAINT_ITEM,29,27
MAINT_ITEM:rocker box cover screws,rocker box cover screws,MAINT_ITEM,30,27
OP_CTX:on run up,on run up,OP_CTX,32,27
ACTION:changed,changed,ACTION,27,26
ACTION:checked,checked,ACTION,26,26
MAINT_ITEM:rocker box cover gasket,rocker box cover gasket,MAINT_ITEM,33,26
ABN_PROC:vibration,vibration,ABN_PROC,26,25
LOC:bottom,bottom,LOC,25,25
"LOC:number three , and number four","number three , and number four",LOC,26,25
"LOC:number two , and number three","number two , and number three",LOC,30,25
ACTION:maintenance flight,maintenance flight,ACTION,26,24
ACTION:staked,staked,ACTION,24,24
MAINT_ITEM:alternator,alternator,MAINT_ITEM,27,24
MAINT_ITEM:baffle seals,baffle seals,MAINT_ITEM,33,24
MAINT_ITEM:clamps,clamps,MAINT_ITEM,29,24
MAINT_ITEM:cowling,cowling,MAINT_ITEM,25,24
MAINT_ITEM:piston,piston,MAINT_ITEM,28,24
MAINT_ITEM:tie rod,tie rod,MAINT_ITEM,25,24
ABN_PROC:roughness,roughness,ABN_PROC,23,23
ACTION:inspection,inspection,ACTION,23,23
LOC:forward lower,forward lower,LOC,25,23
MAINT_ITEM:oil filler tube,oil filler tube,MAINT_ITEM,28,23
TECH_OBS:rpm,rpm,TECH_OBS,23,23
MAINT_ITEM:hose clamps,hose clamps,MAINT_ITEM,40,22
MAINT_ITEM:push rod,push rod,MAINT_ITEM,27,22
MAINT_ITEM:rocker cover screws,rocker cover screws,MAINT_ITEM,26,22
MAINT_ITEM:throttle,throttle,MAINT_ITEM,22,22
