ident,text,items,faults,actions
100001,"ENGINE IDLE OVERRIDE . KILLED ENGINE . TRIED TO ADJUST IDLE SEVERAL TIMES , WOULDN ' T ADJUST .",engine,wouldn ' t adjust; killed,tried to adjust
100002,ENGINE IDLE OVERRIDE . KILLED ENGINE . REMOVED AND REPLACED FUEL SERVO,engine; fuel servo,,removed; replaced
100003,"ENGINE IDLE OVERRIDE . KILLED ENGINE . AIRCRAFT WAS RUN UP , SET IDLE SPEED , MIXTURE OK , NO LEAKS NO",engine; aircraft,killed,run up; set idle speed
100004,"HAD ENGINE CHOKE AND BRIEFLY LOSE POWER ON DEPARTURE . FULL THROUGH PERFORMED ENGINE RUN UP , FOUND CYLINDER TWO LOWER PLUG FOULED .",engine; cylinder; plug,fouled; choke; briefly lose power,run up
100005,NUMBER TWO AND NUMBER FOUR CYLINDER ROCKER COVER GASKETS ARE LEAKING . REMOVED AND REPLACED GASKETS .,cylinder; rocker cover gaskets; gaskets,leaking,removed; replaced
100006,"ROCKER BOX COVER SCREWS LOOSE , ALL CYLINDERS . TIGHTENED SCREWS .",rocker box cover screws; cylinders; screws,loose,tightened
100007,"INDUCTION TUBE HOSE CLAMPS LOOSE , ALL CYLINDERS . TIGHTENED HOSE CLAMPS .",induction tube; hose clamps; cylinders,loose,tightened
100008,NUMBER THREE INTAKE IS LEAKING . REMOVED AND REPLACED GASKET .,intake; gasket,leaking,removed; replaced
100009,NUMBER TWO INTAKE IS LEAKING . REMOVED AND REPLACED NUMBER TWO INTAKE GASKET .,intake; intake gasket,leaking,removed; replaced
100010,NUMBER FOUR ROCKER COVER IS LEAKING . REMOVED AND REPLACED NUMBER FOUR ROCKER COVER GASKET .,rocker cover; rocker cover gasket,leaking,removed; replaced
100011,"HOLDING SHORT OF RUNWAY , AFTER COMPLETION OF RUN UP , ENGINE PERFORMED ENGINE RUN UP , ADJUSTED IDLE AND CLEANED SPARK",engine; spark,,run up; adjusted; cleaned
100012,LEFT-HAND REAR ENGINE BAFFLE CRACKED . STOP DRILLED CRACK .,engine; baffle,cracked; crack,stop drilled
100013,"INDUCTION TUBE HOSE CLAMPS LOOSE , ALL CYLINDERS . TIGHTENED HOSE CLAMPS .",induction tube; hose clamps; cylinders,loose,tightened
100014,"NUMBERS ONE , TWO AND THREE ROCKER BOX COVER GASKETS LEAKING . INSTALLED NEW ROCKER BOX COVER GASKETS .",rocker box cover gaskets,leaking,installed
100015,NUMBER TWO ROCKER COVER GASKET LEAKING . REMOVED AND REPLACED NUMBER TWO ROCKER COVER GASKET .,rocker cover gasket,leaking,removed; replaced
100016,NUMBER ONE AND NUMBER THREE ROCKER COVER GASKET LEAKING . REMOVED AND REPLACED NUMBER ONE AND NUMBER THREE ROCKER COVER GASKET .,rocker cover gasket,leaking,removed; replaced
