issue,action,kind,record_count
leaking,replaced,addresses,2605
loose,tightened,addresses,178
leaking,installed,addresses,171
missing,installed,addresses,171
cracked,stop drilled,addresses,155
broken,replaced,addresses,124
crack,stop drilled,addresses,102
leaks,replaced,addresses,97
worn,replaced,addresses,74
leaking,leak check,investigates,68
missing,replaced,addresses,64
loose,resecured,addresses,63
leaking,cleaned,addresses,61
cracked,fabricated,addresses,59
cracked,replaced,addresses,52
loose,replaced,addresses,48
loose,secured,addresses,47
worn,installed,addresses,47
cracked,installed,addresses,45
damaged,replaced,addresses,38
broken,installed,addresses,36
torn,replaced,addresses,35
leaking,tightened,addresses,28
loose,installed,addresses,28
leak,replaced,addresses,27
dirty,cleaned,addresses,24
sheared,replaced,addresses,21
low,leak check,investigates,19
loose,reattached,addresses,17
low,staked,addresses,16
sheared,installed,addresses,16
low,ran,investigates,15
worn,applied,addresses,15
leaks,cleaned,addresses,14
crack,installed,addresses,12
failed,installed,addresses,12
low,installed,addresses,12
low,operations,investigates,11
missing,reinstalled,addresses,11
cracked,riveted,addresses,10
leaking,ran,investigates,10
leaking,torqued,addresses,10
low,replaced,addresses,10
chafing,installed,addresses,9
cracked,repaired,addresses,9
leak,leak check,investigates,9
metal found in oil,removed,addresses,9
sheared,reinstalled,addresses,9
bad,installed,addresses,8
chafing,repositioned,addresses,8
cracked,leak check,investigates,8
leaking,reinstalled,addresses,8
leaking,sealed,addresses,8
leaks,installed,addresses,8
loose,resafetied,addresses,8
low,operations check,investigates,8
overspeed,reviewed,investigates,8
chafing,replaced,addresses,7
crack,fabricated,addresses,7
damaged,installed,addresses,7
failed,leak check,investigates,7
gouged,inspected,investigates,7
leak,cleaned,addresses,7
ran rough,ran up,investigates,7
broken,fabricated,addresses,6
chafing,applied,addresses,6
failed,magneto check,investigates,6
failed,replaced,addresses,6
leaking,inspected,investigates,6
low,compression check,investigates,6
rough,ran,investigates,6
roughness,maintenance flight,investigates,6
roughness,to check,investigates,6
worn,fabricated,addresses,6
cracked,patched,addresses,5
cracks,stop drilled,addresses,5
leak,installed,addresses,5
leak,sealed,addresses,5
loose,inspected,investigates,5
loose,reinstalled,addresses,5
low,adjusted,addresses,5
low,ran up,investigates,5
no compression,leak check,investigates,5
overspeed,inspected,investigates,5
pulled through,installed,addresses,5
pulled through,replaced,addresses,5
ran rough,ground run,investigates,5
ran rough,ran,investigates,5
seeping,installed,addresses,5
torn,installed,addresses,5
vibration,ran,investigates,5
worn,repaired,addresses,5
bad,replaced,addresses,4
broken,secured,addresses,4
chafing,inspected,investigates,4
dirty,washed,addresses,4
elongated,installed,addresses,4
galled,replaced,addresses,4
leak,ran,investigates,4
