class,test_support,Tier1_CRF_LogReg__precision,Tier1_CRF_LogReg__recall,Tier1_CRF_LogReg__f1,Tier2_BiLSTM_Neural__precision,Tier2_BiLSTM_Neural__recall,Tier2_BiLSTM_Neural__f1,Tier3_Transformer__precision,Tier3_Transformer__recall,Tier3_Transformer__f1,Tier3b_SpERT__precision,Tier3b_SpERT__recall,Tier3b_SpERT__f1
ACTION_ON_ITEM,382,0.7852,0.8613,0.8215,0.4872,0.8953,0.631,0.8641,0.8822,0.8731,0.8536,0.9005,0.8764
HAS_LOCATION,322,0.7947,0.9255,0.8551,0.6069,0.9348,0.7359,0.9169,0.8571,0.886,0.8601,0.9161,0.8872
ISSUE_ON_ITEM,235,0.7907,0.8681,0.8276,0.4714,0.8766,0.6131,0.8465,0.8681,0.8571,0.911,0.9149,0.913
ACTION_ADDRESSES_ISSUE,183,0.8392,0.9126,0.8743,0.7788,0.9235,0.845,0.8871,0.9016,0.8943,0.9222,0.9071,0.9146
HAS_PART,167,0.7288,0.7725,0.75,0.3271,0.8443,0.4716,0.7987,0.7126,0.7532,0.7418,0.8084,0.7736
ACTION_INVESTIGATES_ISSUE,40,0.4085,0.725,0.5225,0.3194,0.575,0.4107,0.4478,0.75,0.5607,0.5098,0.65,0.5714
OBSERVATION_OF_ITEM,30,0.4324,0.5333,0.4776,0.3571,0.6667,0.4651,0.5,0.5,0.5,0.6,0.6,0.6
ACTION_RESULTS_IN_OUTCOME,29,0.6897,0.6897,0.6897,0.3559,0.7241,0.4773,0.6667,0.6897,0.678,0.6667,0.6897,0.678
OCCURS_UNDER_CONTEXT,19,0.45,0.4737,0.4615,0.3548,0.5789,0.44,0.4,0.4211,0.4103,0.4737,0.4737,0.4737
ACTION_USES_ITEM,10,0.7692,1.0,0.8696,0.5625,0.9,0.6923,0.0,0.0,0.0,1.0,1.0,1.0
ACTION_FOLLOWS_REFERENCE,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
