variant,class,precision,recall,f1,support
raw,ABN_PROC,0.9696969696969697,0.9552238805970149,0.9624060150375939,134
raw,ACTION,0.9455958549222798,0.958005249343832,0.9517601043024773,381
raw,FAULT,0.9587628865979382,0.9207920792079208,0.9393939393939394,101
raw,LOC,0.9585798816568047,0.9908256880733946,0.9744360902255639,327
raw,MAINT_ITEM,0.9622356495468278,0.9622356495468278,0.9622356495468278,662
raw,OP_CTX,0.7727272727272727,0.85,0.8095238095238095,20
raw,OUTCOME,0.8148148148148148,0.7857142857142857,0.7999999999999999,28
raw,REFERENCE,1.0,1.0,1.0,2
raw,TECH_OBS,0.7777777777777778,0.7368421052631579,0.7567567567567567,38
rules,ABN_PROC,0.0,0.0,0.0,134
rules,ACTION,0.986046511627907,0.5564304461942258,0.7114093959731544,381
rules,FAULT,0.0,0.0,0.0,101
rules,LOC,0.17391304347826086,0.012232415902140673,0.022857142857142857,327
rules,MAINT_ITEM,0.5087719298245614,0.04380664652567976,0.08066759388038942,662
rules,OP_CTX,1.0,0.2,0.33333333333333337,20
rules,OUTCOME,1.0,0.14285714285714285,0.25,28
rules,REFERENCE,0.0,0.0,0.0,2
rules,TECH_OBS,0.3,0.07894736842105263,0.125,38
byt5,ABN_PROC,0.0,0.0,0.0,134
byt5,ACTION,0.9887005649717514,0.45931758530183725,0.6272401433691756,381
byt5,FAULT,0.0,0.0,0.0,101
byt5,LOC,0.0,0.0,0.0,327
byt5,MAINT_ITEM,0.33962264150943394,0.027190332326283987,0.05034965034965035,662
byt5,OP_CTX,1.0,0.15,0.2608695652173913,20
byt5,OUTCOME,1.0,0.14285714285714285,0.25,28
byt5,REFERENCE,0.0,0.0,0.0,2
byt5,TECH_OBS,0.0,0.0,0.0,38
selective_byt5,ABN_PROC,0.0,0.0,0.0,134
selective_byt5,ACTION,0.9832402234636871,0.46194225721784776,0.6285714285714284,381
selective_byt5,FAULT,0.0,0.0,0.0,101
selective_byt5,LOC,0.0,0.0,0.0,327
selective_byt5,MAINT_ITEM,0.3673469387755102,0.027190332326283987,0.05063291139240506,662
selective_byt5,OP_CTX,1.0,0.15,0.2608695652173913,20
selective_byt5,OUTCOME,1.0,0.14285714285714285,0.25,28
selective_byt5,REFERENCE,0.0,0.0,0.0,2
selective_byt5,TECH_OBS,0.375,0.07894736842105263,0.13043478260869565,38
rules_then_byt5,ABN_PROC,0.0,0.0,0.0,134
rules_then_byt5,ACTION,0.994535519125683,0.4776902887139108,0.6453900709219859,381
rules_then_byt5,FAULT,0.0,0.0,0.0,101
rules_then_byt5,LOC,0.0,0.0,0.0,327
rules_then_byt5,MAINT_ITEM,0.3541666666666667,0.0256797583081571,0.04788732394366198,662
rules_then_byt5,OP_CTX,1.0,0.15,0.2608695652173913,20
rules_then_byt5,OUTCOME,1.0,0.14285714285714285,0.25,28
rules_then_byt5,REFERENCE,0.0,0.0,0.0,2
rules_then_byt5,TECH_OBS,0.0,0.0,0.0,38
