class,precision,recall,f1,support
ACTION_ON_ITEM,0.7852,0.8613,0.8215,382
HAS_LOCATION,0.7947,0.9255,0.8551,322
ISSUE_ON_ITEM,0.7907,0.8681,0.8276,235
ACTION_ADDRESSES_ISSUE,0.8392,0.9126,0.8743,183
HAS_PART,0.7288,0.7725,0.75,167
ACTION_INVESTIGATES_ISSUE,0.4085,0.725,0.5225,40
OBSERVATION_OF_ITEM,0.4324,0.5333,0.4776,30
ACTION_RESULTS_IN_OUTCOME,0.6897,0.6897,0.6897,29
OCCURS_UNDER_CONTEXT,0.45,0.4737,0.4615,19
ACTION_USES_ITEM,0.7692,1.0,0.8696,10
ACTION_FOLLOWS_REFERENCE,1.0,1.0,1.0,2
micro avg,0.7581,0.8548,0.8036,1419
macro avg,,,0.7409,1419
