lr;epoch;iteration;global_iteration
3.9246467817896395e-06;0;100;100
7.849293563579279e-06;0;200;200
1.1773940345368916e-05;0;300;300
1.5698587127158558e-05;0;400;400
1.9623233908948195e-05;0;500;500
2.3547880690737832e-05;0;600;600
2.7472527472527476e-05;1;63;700
3.1397174254317116e-05;1;163;800
3.532182103610675e-05;1;263;900
3.924646781789639e-05;1;363;1000
4.317111459968603e-05;1;463;1100
4.7095761381475664e-05;1;563;1200
4.9886621315192745e-05;2;26;1300
4.945054945054945e-05;2;126;1400
4.901447758590616e-05;2;226;1500
4.857840572126286e-05;2;326;1600
4.8142333856619576e-05;2;426;1700
4.7706261991976284e-05;2;526;1800
4.7270190127332985e-05;2;626;1900
4.683411826268969e-05;3;89;2000
4.63980463980464e-05;3;189;2100
4.596197453340311e-05;3;289;2200
4.552590266875981e-05;3;389;2300
4.5089830804116524e-05;3;489;2400
4.4653758939473225e-05;3;589;2500
4.421768707482993e-05;4;52;2600
4.378161521018664e-05;4;152;2700
4.334554334554335e-05;4;252;2800
4.2909471480900056e-05;4;352;2900
4.247339961625676e-05;4;452;3000
4.203732775161347e-05;4;552;3100
4.160125588697017e-05;5;15;3200
4.116518402232688e-05;5;115;3300
4.072911215768359e-05;5;215;3400
4.0293040293040296e-05;5;315;3500
3.9856968428397003e-05;5;415;3600
3.9420896563753704e-05;5;515;3700
3.898482469911042e-05;5;615;3800
3.854875283446712e-05;6;78;3900
3.811268096982383e-05;6;178;4000
3.7676609105180535e-05;6;278;4100
3.724053724053724e-05;6;378;4200
3.680446537589395e-05;6;478;4300
3.636839351125065e-05;6;578;4400
3.5932321646607366e-05;7;41;4500
3.549624978196407e-05;7;141;4600
3.5060177917320775e-05;7;241;4700
3.462410605267748e-05;7;341;4800
3.418803418803419e-05;7;441;4900
3.37519623233909e-05;7;541;5000
3.33158904587476e-05;8;4;5100
3.2879818594104314e-05;8;104;5200
3.2443746729461015e-05;8;204;5300
3.200767486481772e-05;8;304;5400
3.157160300017443e-05;8;404;5500
3.113553113553114e-05;8;504;5600
3.069945927088784e-05;8;604;5700
3.0263387406244554e-05;9;67;5800
2.9827315541601258e-05;9;167;5900
2.9391243676957962e-05;9;267;6000
2.895517181231467e-05;9;367;6100
2.8519099947671378e-05;9;467;6200
2.8083028083028086e-05;9;567;6300
2.764695621838479e-05;10;30;6400
2.72108843537415e-05;10;130;6500
2.6774812489098206e-05;10;230;6600
2.633874062445491e-05;10;330;6700
2.5902668759811614e-05;10;430;6800
2.5466596895168325e-05;10;530;6900
2.5030525030525033e-05;10;630;7000
2.459445316588174e-05;11;93;7100
2.4158381301238445e-05;11;193;7200
2.3722309436595153e-05;11;293;7300
2.3286237571951857e-05;11;393;7400
2.2850165707308565e-05;11;493;7500
2.2414093842665273e-05;11;593;7600
2.1978021978021977e-05;12;56;7700
2.1541950113378685e-05;12;156;7800
2.1105878248735393e-05;12;256;7900
2.06698063840921e-05;12;356;8000
2.0233734519448805e-05;12;456;8100
1.9797662654805513e-05;12;556;8200
1.936159079016222e-05;13;19;8300
1.8925518925518925e-05;13;119;8400
1.8489447060875633e-05;13;219;8500
1.805337519623234e-05;13;319;8600
1.7617303331589048e-05;13;419;8700
1.7181231466945756e-05;13;519;8800
1.674515960230246e-05;13;619;8900
1.6309087737659168e-05;14;82;9000
1.5873015873015872e-05;14;182;9100
1.543694400837258e-05;14;282;9200
1.5000872143729286e-05;14;382;9300
1.4564800279085994e-05;14;482;9400
1.4128728414442702e-05;14;582;9500
1.3692656549799408e-05;15;45;9600
1.3256584685156115e-05;15;145;9700
1.282051282051282e-05;15;245;9800
1.2384440955869528e-05;15;345;9900
1.1948369091226234e-05;15;445;10000
1.1512297226582941e-05;15;545;10100
1.1076225361939647e-05;16;8;10200
1.0640153497296355e-05;16;108;10300
1.0204081632653061e-05;16;208;10400
9.768009768009769e-06;16;308;10500
9.331937903366475e-06;16;408;10600
8.895866038723181e-06;16;508;10700
8.459794174079889e-06;16;608;10800
8.023722309436597e-06;17;71;10900
7.587650444793303e-06;17;171;11000
7.151578580150009e-06;17;271;11100
6.715506715506716e-06;17;371;11200
6.279434850863422e-06;17;471;11300
5.8433629862201295e-06;17;571;11400
5.4072911215768355e-06;18;34;11500
4.971219256933543e-06;18;134;11600
4.535147392290249e-06;18;234;11700
4.099075527646956e-06;18;334;11800
3.663003663003663e-06;18;434;11900
3.22693179836037e-06;18;534;12000
2.7908599337170766e-06;18;634;12100
2.3547880690737835e-06;19;97;12200
1.91871620443049e-06;19;197;12300
1.482644339787197e-06;19;297;12400
1.0465724751439038e-06;19;397;12500
6.105006105006106e-07;19;497;12600
1.7442874585731728e-07;19;597;12700
