lr;epoch;iteration;global_iteration
5.8139534883720935e-06;0;100;100
1.1627906976744187e-05;0;200;200
1.744186046511628e-05;0;300;300
2.3255813953488374e-05;0;400;400
2.9069767441860467e-05;1;70;500
3.488372093023256e-05;1;170;600
4.0697674418604655e-05;1;270;700
4.651162790697675e-05;1;370;800
4.9741602067183466e-05;2;40;900
4.9095607235142123e-05;2;140;1000
4.8449612403100775e-05;2;240;1100
4.780361757105943e-05;2;340;1200
4.715762273901809e-05;3;10;1300
4.651162790697675e-05;3;110;1400
4.5865633074935406e-05;3;210;1500
4.521963824289406e-05;3;310;1600
4.4573643410852715e-05;3;410;1700
4.392764857881137e-05;4;80;1800
4.328165374677003e-05;4;180;1900
4.263565891472868e-05;4;280;2000
4.198966408268734e-05;4;380;2100
4.1343669250646e-05;5;50;2200
4.0697674418604655e-05;5;150;2300
4.005167958656331e-05;5;250;2400
3.9405684754521964e-05;5;350;2500
3.875968992248062e-05;6;20;2600
3.811369509043928e-05;6;120;2700
3.746770025839794e-05;6;220;2800
3.682170542635659e-05;6;320;2900
3.617571059431525e-05;6;420;3000
3.5529715762273905e-05;7;90;3100
3.488372093023256e-05;7;190;3200
3.4237726098191214e-05;7;290;3300
3.359173126614987e-05;7;390;3400
3.294573643410852e-05;8;60;3500
3.229974160206719e-05;8;160;3600
3.1653746770025845e-05;8;260;3700
3.1007751937984497e-05;8;360;3800
3.0361757105943154e-05;9;30;3900
2.971576227390181e-05;9;130;4000
2.9069767441860467e-05;9;230;4100
2.842377260981912e-05;9;330;4200
2.777777777777778e-05;9;430;4300
2.7131782945736434e-05;10;100;4400
2.648578811369509e-05;10;200;4500
2.5839793281653746e-05;10;300;4600
2.5193798449612404e-05;10;400;4700
2.4547803617571062e-05;11;70;4800
2.3901808785529716e-05;11;170;4900
2.3255813953488374e-05;11;270;5000
2.260981912144703e-05;11;370;5100
2.1963824289405686e-05;12;40;5200
2.131782945736434e-05;12;140;5300
2.0671834625323e-05;12;240;5400
2.0025839793281657e-05;12;340;5500
1.937984496124031e-05;13;10;5600
1.873385012919897e-05;13;110;5700
1.8087855297157624e-05;13;210;5800
1.744186046511628e-05;13;310;5900
1.6795865633074936e-05;13;410;6000
1.6149870801033594e-05;14;80;6100
1.5503875968992248e-05;14;180;6200
1.4857881136950904e-05;14;280;6300
1.421188630490956e-05;14;380;6400
1.3565891472868217e-05;15;50;6500
1.2919896640826873e-05;15;150;6600
1.2273901808785531e-05;15;250;6700
1.1627906976744187e-05;15;350;6800
1.0981912144702843e-05;16;20;6900
1.03359173126615e-05;16;120;7000
9.689922480620156e-06;16;220;7100
9.043927648578812e-06;16;320;7200
8.397932816537468e-06;16;420;7300
7.751937984496124e-06;17;90;7400
7.10594315245478e-06;17;190;7500
6.4599483204134365e-06;17;290;7600
5.8139534883720935e-06;17;390;7700
5.16795865633075e-06;18;60;7800
4.521963824289406e-06;18;160;7900
3.875968992248062e-06;18;260;8000
3.2299741602067182e-06;18;360;8100
2.583979328165375e-06;19;30;8200
1.937984496124031e-06;19;130;8300
1.2919896640826874e-06;19;230;8400
6.459948320413437e-07;19;330;8500
0.0;19;430;8600
