class,test_support,Tier1_CRF_LogReg__precision,Tier1_CRF_LogReg__recall,Tier1_CRF_LogReg__f1,Tier2_BiLSTM_Neural__precision,Tier2_BiLSTM_Neural__recall,Tier2_BiLSTM_Neural__f1,Tier3_Transformer__precision,Tier3_Transformer__recall,Tier3_Transformer__f1,Tier3b_SpERT__precision,Tier3b_SpERT__recall,Tier3b_SpERT__f1
ACTION_ON_ITEM,382,0.7759,0.8613,0.8164,0.5578,0.8848,0.6842,0.8304,0.8586,0.8443,0.8753,0.8822,0.8787
HAS_LOCATION,322,0.7947,0.9255,0.8551,0.5268,0.9472,0.677,0.8132,0.9193,0.863,0.8338,0.9193,0.8744
ISSUE_ON_ITEM,235,0.7882,0.8553,0.8204,0.5702,0.8809,0.6923,0.8382,0.8596,0.8487,0.8936,0.8936,0.8936
ACTION_ADDRESSES_ISSUE,183,0.8384,0.9071,0.8714,0.8009,0.9235,0.8579,0.9218,0.9016,0.9116,0.9274,0.9071,0.9171
HAS_PART,167,0.7207,0.7725,0.7457,0.2687,0.8802,0.4118,0.7862,0.7485,0.7669,0.7692,0.8383,0.8023
ACTION_INVESTIGATES_ISSUE,40,0.4143,0.725,0.5273,0.3676,0.625,0.463,0.3766,0.725,0.4957,0.5385,0.7,0.6087
OBSERVATION_OF_ITEM,30,0.5,0.5,0.5,0.3065,0.6333,0.413,0.6923,0.6,0.6429,0.6429,0.6,0.6207
ACTION_RESULTS_IN_OUTCOME,29,0.6562,0.7241,0.6885,0.3962,0.7241,0.5122,0.6452,0.6897,0.6667,0.75,0.7241,0.7368
OCCURS_UNDER_CONTEXT,19,0.4737,0.4737,0.4737,0.3333,0.4737,0.3913,0.3448,0.5263,0.4167,0.5556,0.5263,0.5405
ACTION_USES_ITEM,10,0.7692,1.0,0.8696,0.4737,0.9,0.6207,0.0,0.0,0.0,0.9091,1.0,0.9524
