issue,action,item,kind,record_count
leaking,replaced,gasket,addresses,725
leaking,replaced,intake gasket,addresses,499
leaking,replaced,gaskets,addresses,390
leaking,replaced,rocker cover gasket,addresses,327
leaking,replaced,rocker cover gaskets,addresses,277
leaking,replaced,intake gaskets,addresses,261
cracked,stop drilled,baffle,addresses,128
missing,installed,screw,addresses,87
leaks,replaced,gasket,addresses,63
crack,stop drilled,baffle,addresses,58
loose,tightened,screws,addresses,50
cracked,fabricated,patch,addresses,43
loose,tightened,screw,addresses,37
loose,resecured,baffle seal,addresses,35
cracked,fabricated,like material,addresses,31
missing,replaced,screw,addresses,29
leaking,installed,gasket,addresses,27
leaking,installed,induction tube gasket,addresses,27
leaking,installed,intake gasket,addresses,25
worn,replaced,baffle plugs,addresses,24
leaking,replaced,rocker gaskets,addresses,23
leaking,replaced,cylinder,addresses,22
cracked,replaced,baffle,addresses,19
loose,secured,baffle seal,addresses,19
loose,tightened,hose clamps,addresses,18
cracked,installed,patch,addresses,17
leaks,replaced,intake gasket,addresses,17
leaking,installed,gaskets,addresses,15
leaking,installed,rocker box cover gasket,addresses,15
leaking,replaced,rocker gasket,addresses,15
low,leak check,cylinder,investigates,15
missing,installed,hardware,addresses,15
worn,replaced,plugs,addresses,15
damaged,replaced,baffle plugs,addresses,13
leaking,installed,intake gaskets,addresses,13
leaking,installed,rocker box cover gaskets,addresses,13
worn,installed,rtv,addresses,13
leaking,replaced,rocker cover,addresses,12
low,ran,aircraft,investigates,12
missing,installed,baffle,addresses,12
crack,stop drilled,,addresses,11
cracked,stop drilled,baffling,addresses,11
dirty,cleaned,sniffler valves,addresses,11
leaking,leak check,,investigates,11
cracked,fabricated,baffle,addresses,10
cracked,installed,baffle,addresses,10
leaking,cleaned,gasket,addresses,10
missing,installed,plug,addresses,10
sheared,replaced,rivets,addresses,10
leaking,leak check,intake gasket,investigates,9
leaking,replaced,silicone gasket,addresses,9
leaking,tightened,clamps,addresses,9
leaks,replaced,rocker cover gasket,addresses,9
metal found in oil,removed,engine,addresses,9
broken,replaced,baffle plugs,addresses,8
broken,replaced,baffle spring,addresses,8
broken,replaced,baffle tie rod,addresses,8
cracked,replaced,bracket,addresses,8
cracked,stop drilled,cylinder,addresses,8
damaged,replaced,baffle plug,addresses,8
leak,replaced,gaskets,addresses,8
leaking,installed,intake tube gasket,addresses,8
leaking,leak check,intake gaskets,investigates,8
leaking,replaced,rocker covers,addresses,8
loose,tightened,clamps,addresses,8
missing,installed,bolt,addresses,8
sheared,installed,rivets,addresses,8
torn,replaced,rocker cover gasket,addresses,8
broken,replaced,baffle plug,addresses,7
broken,replaced,baffle tie,addresses,7
