item,issue,issue_type,record_count
intake gasket,leaking,ABN_PROC,558
intake,leaking,ABN_PROC,518
rocker cover gasket,leaking,ABN_PROC,303
intakes,leaking,ABN_PROC,256
intake gaskets,leaking,ABN_PROC,251
rocker cover,leaking,ABN_PROC,251
baffle,cracked,FAULT,227
rocker cover gaskets,leaking,ABN_PROC,213
rocker covers,leaking,ABN_PROC,177
baffle,crack,FAULT,163
cylinder,low,FAULT,145
baffle seal,loose,FAULT,86
screw,missing,FAULT,75
induction tube gasket,leaking,ABN_PROC,54
rocker gaskets,leaking,ABN_PROC,52
intake tube gasket,leaking,ABN_PROC,45
intake gasket,leaks,ABN_PROC,38
baffle plugs,worn,FAULT,37
rocker gasket,leaking,ABN_PROC,36
baffle screw,missing,FAULT,35
cylinder,cracked,FAULT,33
baffle,missing,FAULT,31
intake,leaks,ABN_PROC,29
cylinder,failed,FAULT,28
baffle screw,loose,FAULT,27
engine,ran rough,ABN_PROC,27
intake tube,leaking,ABN_PROC,26
baffle,loose,FAULT,26
rocker box cover screws,loose,FAULT,26
rivets,sheared,FAULT,26
baffle seal,torn,FAULT,24
engine,overspeed,ABN_PROC,23
engine,roughness,ABN_PROC,22
baffle plug,missing,FAULT,21
cylinder,no compression,FAULT,21
baffling,crack,FAULT,20
rocker cover screws,loose,FAULT,20
screw,loose,FAULT,20
hardware,missing,FAULT,20
hose clamps,loose,FAULT,19
rocker cover gasket,leaks,ABN_PROC,18
engine,rough,ABN_PROC,18
baffling,cracked,FAULT,17
cylinder,leaking,ABN_PROC,17
engine,rough running,ABN_PROC,17
baffle tie rod,broken,FAULT,16
exhaust valve,failed,FAULT,16
engine,running rough,ABN_PROC,16
baffle plug,broken,FAULT,15
baffle spring,broken,FAULT,15
baffle plugs,damaged,FAULT,15
rocker box cover gasket,leaking,ABN_PROC,15
bolt,missing,FAULT,15
propeller,overspeed,ABN_PROC,15
engine,vibration,ABN_PROC,15
rivet,sheared,FAULT,14
baffle plug,worn,FAULT,14
seal,worn,FAULT,14
baffle,cracks,FAULT,13
sniffler valves,dirty,FAULT,13
baffle seal,worn,FAULT,13
baffle plugs,broken,FAULT,12
cylinder,crack,FAULT,12
baffle plug,damaged,FAULT,12
valve,stuck,FAULT,12
black seal,worn,FAULT,12
baffle,chafing,ABN_PROC,11
rivets,loose,FAULT,11
rocker cover,missing,FAULT,11
engine,quit,ABN_PROC,11
rocker cover gasket,torn,FAULT,11
exhaust valve,leaking,ABN_PROC,10
intake tube gaskets,leaking,ABN_PROC,10
rocker box cover gaskets,leaking,ABN_PROC,10
screws,loose,FAULT,10
engine,metal found in oil,FAULT,10
engine,ran very rough,ABN_PROC,10
engine,started running rough,ABN_PROC,10
baffle,worn,FAULT,10
rivets,broken,FAULT,9
tabs,broken,FAULT,9
oil,leak,ABN_PROC,9
baffle plugs,missing,FAULT,9
baffle tie,broken,FAULT,8
oil return line,chafing,ABN_PROC,8
baffle bracket,cracked,FAULT,8
intake,leak,ABN_PROC,8
exhaust,leaking,ABN_PROC,8
