variant,class,precision,recall,f1,support
raw,ACTION_ADDRESSES_ISSUE,0.8556701030927835,0.907103825136612,0.8806366047745358,183
raw,ACTION_FOLLOWS_REFERENCE,1.0,1.0,1.0,2
raw,ACTION_INVESTIGATES_ISSUE,0.5166666666666667,0.775,0.62,40
raw,ACTION_ON_ITEM,0.8106796116504854,0.8743455497382199,0.8413098236775818,382
raw,ACTION_RESULTS_IN_OUTCOME,0.6774193548387096,0.7241379310344828,0.7,29
raw,ACTION_USES_ITEM,0.6,0.9,0.7200000000000001,10
raw,HAS_LOCATION,0.8138888888888889,0.9099378881987578,0.8592375366568915,322
raw,HAS_PART,0.6448598130841121,0.8263473053892215,0.7244094488188976,167
raw,ISSUE_ON_ITEM,0.8502024291497976,0.8936170212765957,0.8713692946058091,235
raw,OBSERVATION_OF_ITEM,0.7037037037037037,0.6333333333333333,0.6666666666666667,30
raw,OCCURS_UNDER_CONTEXT,0.3888888888888889,0.3684210526315789,0.37837837837837834,19
rules,ACTION_ADDRESSES_ISSUE,0.8697916666666666,0.912568306010929,0.8906666666666666,183
rules,ACTION_FOLLOWS_REFERENCE,1.0,1.0,1.0,2
rules,ACTION_INVESTIGATES_ISSUE,0.4666666666666667,0.7,0.56,40
rules,ACTION_ON_ITEM,0.8075117370892019,0.900523560209424,0.8514851485148516,382
rules,ACTION_RESULTS_IN_OUTCOME,0.6176470588235294,0.7241379310344828,0.6666666666666667,29
rules,ACTION_USES_ITEM,0.7142857142857143,1.0,0.8333333333333333,10
rules,HAS_LOCATION,0.7994579945799458,0.9161490683229814,0.8538350217076701,322
rules,HAS_PART,0.6320754716981132,0.8023952095808383,0.7071240105540897,167
rules,ISSUE_ON_ITEM,0.8346774193548387,0.8808510638297873,0.8571428571428572,235
rules,OBSERVATION_OF_ITEM,0.5454545454545454,0.6,0.5714285714285713,30
rules,OCCURS_UNDER_CONTEXT,0.42105263157894735,0.42105263157894735,0.42105263157894735,19
byt5,ACTION_ADDRESSES_ISSUE,0.835820895522388,0.9180327868852459,0.875,183
byt5,ACTION_FOLLOWS_REFERENCE,1.0,1.0,1.0,2
byt5,ACTION_INVESTIGATES_ISSUE,0.532258064516129,0.825,0.6470588235294118,40
byt5,ACTION_ON_ITEM,0.773972602739726,0.887434554973822,0.8268292682926829,382
byt5,ACTION_RESULTS_IN_OUTCOME,0.7,0.7241379310344828,0.711864406779661,29
byt5,ACTION_USES_ITEM,0.7142857142857143,1.0,0.8333333333333333,10
byt5,HAS_LOCATION,0.764102564102564,0.9254658385093167,0.8370786516853933,322
byt5,HAS_PART,0.6081081081081081,0.8083832335329342,0.6940874035989717,167
byt5,ISSUE_ON_ITEM,0.8421052631578947,0.8851063829787233,0.8630705394190871,235
byt5,OBSERVATION_OF_ITEM,0.42105263157894735,0.5333333333333333,0.47058823529411764,30
byt5,OCCURS_UNDER_CONTEXT,0.4166666666666667,0.5263157894736842,0.46511627906976744,19
selective_byt5,ACTION_ADDRESSES_ISSUE,0.845,0.9234972677595629,0.8825065274151436,183
selective_byt5,ACTION_FOLLOWS_REFERENCE,1.0,1.0,1.0,2
selective_byt5,ACTION_INVESTIGATES_ISSUE,0.55,0.825,0.66,40
selective_byt5,ACTION_ON_ITEM,0.8080568720379147,0.8926701570680629,0.8482587064676617,382
selective_byt5,ACTION_RESULTS_IN_OUTCOME,0.6875,0.7586206896551724,0.7213114754098361,29
selective_byt5,ACTION_USES_ITEM,1.0,1.0,1.0,10
selective_byt5,HAS_LOCATION,0.7708333333333334,0.9192546583850931,0.838526912181303,322
selective_byt5,HAS_PART,0.6303317535545023,0.7964071856287425,0.7037037037037036,167
selective_byt5,ISSUE_ON_ITEM,0.8366533864541833,0.8936170212765957,0.8641975308641975,235
selective_byt5,OBSERVATION_OF_ITEM,0.5142857142857142,0.6,0.5538461538461538,30
selective_byt5,OCCURS_UNDER_CONTEXT,0.5,0.47368421052631576,0.4864864864864865,19
rules_then_byt5,ACTION_ADDRESSES_ISSUE,0.8608247422680413,0.912568306010929,0.8859416445623343,183
rules_then_byt5,ACTION_FOLLOWS_REFERENCE,1.0,1.0,1.0,2
rules_then_byt5,ACTION_INVESTIGATES_ISSUE,0.48484848484848486,0.8,0.6037735849056605,40
rules_then_byt5,ACTION_ON_ITEM,0.8090692124105012,0.887434554973822,0.8464419475655431,382
rules_then_byt5,ACTION_RESULTS_IN_OUTCOME,0.7096774193548387,0.7586206896551724,0.7333333333333333,29
rules_then_byt5,ACTION_USES_ITEM,0.9090909090909091,1.0,0.9523809523809523,10
rules_then_byt5,HAS_LOCATION,0.7853403141361257,0.9316770186335404,0.8522727272727273,322
rules_then_byt5,HAS_PART,0.6616915422885572,0.7964071856287425,0.7228260869565216,167
rules_then_byt5,ISSUE_ON_ITEM,0.8381742738589212,0.8595744680851064,0.8487394957983193,235
rules_then_byt5,OBSERVATION_OF_ITEM,0.391304347826087,0.6,0.47368421052631576,30
rules_then_byt5,OCCURS_UNDER_CONTEXT,0.4166666666666667,0.5263157894736842,0.46511627906976744,19
