batch,line,ident,type,detail
pilot,1,100593,exact_group_recomputed,ex_14add8f8->ex_73f004d798f6a199
pilot,2,102033,exact_group_recomputed,ex_04d09009->ex_4c48663c0721b40e
pilot,3,101149,exact_group_recomputed,ex_a22f2c88->ex_a7b6013c75ea506a
pilot,4,101313,exact_group_recomputed,ex_8e30532b->ex_80684f0e8bf2dbb3
pilot,5,101585,exact_group_recomputed,ex_8917ee04->ex_198b4bcdaa32e611
pilot,6,104924,exact_group_recomputed,ex_100ba69f->ex_14560dde2077bc24
pilot,7,106079,exact_group_recomputed,ex_90da3bb1->ex_6c86b683d00d1787
pilot,8,105931,exact_group_recomputed,ex_b974d00c->ex_f267d55d2ae5a6ce
pilot,9,104757,exact_group_recomputed,ex_31d7d0a5->ex_b8f3b0bae0d6d49d
pilot,10,103586,exact_group_recomputed,ex_0365ce8c->ex_658c619cfc66f2d4
pilot,11,103548,exact_group_recomputed,ex_4fd22051->ex_dcd806cb48c74626
pilot,12,104692,exact_group_recomputed,ex_7f62e7bd->ex_9bab4499248ce268
pilot,13,102024,exact_group_recomputed,ex_ec75b79a->ex_bb063c77bd367286
pilot,14,103929,exact_group_recomputed,ex_2c31374c->ex_2f8fc9a80f1e2781
pilot,15,104265,exact_group_recomputed,ex_c0d4e716->ex_f39fba63b289eee2
pilot,16,102906,exact_group_recomputed,ex_944fbfc2->ex_75a1458dfa39ba8e
pilot,17,104548,exact_group_recomputed,ex_cd6e9fcc->ex_d5c99a6fb72b2cc4
pilot,18,101168,exact_group_recomputed,ex_32014a03->ex_93516c794e6b4a06
pilot,19,102993,exact_group_recomputed,ex_ff8f53f9->ex_71baed182e738346
pilot,20,101893,exact_group_recomputed,ex_d7e14356->ex_a156620d1b173140
pilot,21,102772,exact_group_recomputed,ex_5cd56948->ex_2c758690eddc4dbb
pilot,22,102259,exact_group_recomputed,ex_88f8c4bf->ex_1374952f0251f9c5
pilot,23,102158,exact_group_recomputed,ex_a0d4a0a7->ex_9b81494f5e4fc5b5
pilot,24,105204,exact_group_recomputed,ex_285ac375->ex_d4b8b0339a7057b3
pilot,25,103248,exact_group_recomputed,ex_7e52b048->ex_b1ceca6fc85d1dd1
pilot,26,100864,exact_group_recomputed,ex_3a483a88->ex_46e6164163da2d0a
pilot,27,100865,exact_group_recomputed,ex_3b48fe3e->ex_98b252cf7d4876fe
pilot,28,101636,exact_group_recomputed,ex_1005f079->ex_0efc85d6dcbf88ef
pilot,29,101849,exact_group_recomputed,ex_03a2a166->ex_a46f0fbc60ce1e9e
pilot,30,104993,exact_group_recomputed,ex_5ebc9fd2->ex_0d426ecbb23209a7
pilot,31,102708,exact_group_recomputed,ex_e75a47e9->ex_a7b5d008ecf02c47
pilot,32,102630,exact_group_recomputed,ex_8528657d->ex_4efae48fe0c8781a
pilot,33,104153,exact_group_recomputed,ex_f5d88ea2->ex_d6394119eb0b1221
pilot,34,104844,exact_group_recomputed,ex_a722ca3d->ex_539e815fc9e1e3a5
pilot,35,102095,exact_group_recomputed,ex_83efc427->ex_8dbdbc45244e51e9
